Target Name	Accession	Description	Occurrences
RNA_pol_rpoA2	TIGR02389.1	JCVI: DNA-directed RNA polymerase subunit A''	3
PRK14898.1	NF011491.0	NCBI Protein Cluster (PRK): DNA-directed RNA polymerase subunit A''	2
PRK02693.1	NF002736.1	NCBI Protein Cluster (PRK): cytochrome f	2
crt_membr	TIGR03459.1	JCVI: alpha-(1->6)-mannopyranosyltransferase A	1
MptB	NF038066.1	NCBIFAM: polyprenol phosphomannose-dependent alpha 1,6 mannosyltransferase MptB	1
PRK05254.1-2	NF003589.0	NCBI Protein Cluster (PRK): uracil-DNA glycosylase	1
PRK05254.1-5	NF003592.0	NCBI Protein Cluster (PRK): uracil-DNA glycosylase	1
PRK05254.1-4	NF003591.1	NCBI Protein Cluster (PRK): uracil-DNA glycosylase	1
ung	TIGR00628.1	JCVI: uracil-DNA glycosylase	1
PRK05254.1-1	NF003588.0	NCBI Protein Cluster (PRK): uracil-DNA glycosylase	1
PRK14618.1	NF011211.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2
PRK00094.1-2	NF000940.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK00094.1-3	NF000941.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	3
PRK00094.1-1	NF000939.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2
PRK14619.1	NF011212.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2
PRK12439.1	NF009098.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK00094.2-4	NF000946.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK00094.2-2	NF000944.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
glycerol3P_DH	TIGR03376.1	JCVI: glycerol-3-phosphate dehydrogenase (NAD(+))	1
PRK00094.2-1	NF000943.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK14620.1	NF011213.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK00094.2-5	NF000947.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK00094.2-3	NF000945.0	NCBI Protein Cluster (PRK): NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	1
PRK15482.1	NF012026.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator MurR	5
Eex_IncN	NF033894.1	NCBIFAM: EexN family lipoprotein	1
Lepto_7_Nterm	NF047433.1	NCBIFAM: LA_0442/LA_0875 N-terminal domain	1
H2_NiFeSe_small	NF045520.1	NCBIFAM: NiFeSe hydrogenase small subunit	2
PRK14813.1	NF011388.0	NCBI Protein Cluster (PRK): NADH dehydrogenase subunit B	1
hydA	TIGR00391.1	JCVI: hydrogenase small subunit	2
PRK14819.1	NF011394.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit B	1
PRK13292.1	NF009808.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit B/C/D	1
PRK10468.1	NF007779.0	NCBI Protein Cluster (PRK): hydrogenase 2 small subunit	2
PRK10606.1	NF007900.0	NCBI Protein Cluster (PRK): glutathione peroxidase	9
gpx7	TIGR02540.1	JCVI: putative glutathione peroxidase Gpx7	5
PRK09778.1	NF007300.0	NCBI Protein Cluster (PRK): type I toxin-antitoxin system antitoxin YafN	1
PRK02854.1	NF002770.0	NCBI Protein Cluster (PRK): primosomal protein DnaT	1
Bac_Flav_CT_G	TIGR03783.1	JCVI: TraG family conjugative transposon ATPase	7
AspGlyoxATaseBhcA	NF045640.1	NCBIFAM: L-aspartate--glyoxylate aminotransferase BhcA	1
PRK13479.1	NF010006.0	NCBI Protein Cluster (PRK): 2-aminoethylphosphonate--pyruvate transaminase	2
transamin_PhnW	TIGR02326.1	JCVI: 2-aminoethylphosphonate--pyruvate transaminase	2
CU044_5270_fam	NF038083.1	NCBIFAM: CU044_5270 family protein	3
PRK10226.1	NF007589.0	NCBI Protein Cluster (PRK): beta-aspartyl-peptidase	4
polymyxin_MCR10	NF033862.2	NCBIFAM: MCR-10 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR9	NF033836.1	NCBIFAM: MCR-9 family phosphoethanolamine--lipid A transferase	1
poly_MCR3_broad	NF033409.0	NCBIFAM: MCR-3-related phosphoethanolamine--lipid A transferase	1
polymyxin_MCR3	NF033408.5	NCBIFAM: MCR-3 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR7	NF033671.1	NCBIFAM: MCR-7 family phosphoethanolamine--lipid A transferase	1
P_eth_NH2_trans	NF028537.1	NCBIFAM: phosphoethanolamine--lipid A transferase	2
PRK11598.1	NF008619.0	NCBI Protein Cluster (PRK): phosphoethanolamine transferase EptA	1
polymyxin_MCR4	NF033462.1	NCBIFAM: MCR-4 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR8	NF033669.1	NCBIFAM: MCR-8 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR5	NF033463.1	NCBIFAM: MCR-5 family phosphoethanolamine--lipid A transferase	1
PRK09598.1	NF007160.0	NCBI Protein Cluster (PRK): phosphoethanolamine--lipid A transferase EptA	2
polymyxin_MCR1	NF000465.1	NCBIFAM: MCR-1 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR2	NF012159.0	NCBIFAM: MCR-2 family phosphoethanolamine--lipid A transferase	1
polymyxin_MCR6	NF033670.1	NCBIFAM: MCR-6 family phosphoethanolamine--lipid A transferase	1
PRK11560.1	NF008593.0	NCBI Protein Cluster (PRK): kdo(2)-lipid A phosphoethanolamine 7''-transferase	2
PRK10649.1	NF007933.0	NCBI Protein Cluster (PRK): phosphoethanolamine transferase CptA	2
CptA	NF012179.0	NCBIFAM: phosphoethanolamine transferase CptA	2
S_layer_CsaB	TIGR03609.1	JCVI: polysaccharide pyruvyl transferase CsaB	2
bifunc_MprF	NF033480.1	NCBIFAM: bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	1
TIGR00374	TIGR00374.1	JCVI: flippase-like domain	2
UbiqAccUbiK	NF047835.1	NCBIFAM: ubiquinone biosynthesis accessory factor UbiK	4
CocE_NonD	TIGR00976.1	JCVI: CocE/NonD family hydrolase	6
PRK04173.1	NF003211.1	NCBI Protein Cluster (PRK): glycine--tRNA ligase	3
glyS_dimeric	TIGR00389.1	JCVI: glycine--tRNA ligase, homodimeric type	3
PRK14894.1	NF011484.0	NCBI Protein Cluster (PRK): glycine--tRNA ligase	2
proS_fam_II	TIGR00409.1	JCVI: proline--tRNA ligase	6
PRK15419.1	NF011948.0	NCBI Protein Cluster (PRK): sodium/proline symporter PutP	7
FtsX_actino	NF038346.1	NCBIFAM: permease-like cell division protein FtsX	4
FtsX_Gneg	TIGR00439.2	JCVI: permease-like cell division protein FtsX	5
ABC_perm_YbbP	NF041854.1	NCBIFAM: putative ABC transporter permease subunit YbbP	3
PRK00911.1	NF002068.0	NCBI Protein Cluster (PRK): dihydroxy-acid dehydratase	2
ilvD	TIGR00110.1	JCVI: dihydroxy-acid dehydratase	2
PRK12448.1	NF009103.0	NCBI Protein Cluster (PRK): dihydroxy-acid dehydratase	4
PRK06131.1	NF004784.0	NCBI Protein Cluster (PRK): dihydroxy-acid dehydratase	2
PRK13016.1	NF009559.0	NCBI Protein Cluster (PRK): L-arabinonate dehydratase	2
PRK13017.1	NF009560.0	NCBI Protein Cluster (PRK): dihydroxy-acid dehydratase	2
yjhG_yagF	TIGR03432.1	JCVI: YjhG/YagF family D-xylonate dehydratase	2
edd	TIGR01196.1	JCVI: phosphogluconate dehydratase	2
TAA_AbiEi	NF047376.1	NCBIFAM: type IV toxin-antitoxin system AbiEi family antitoxin	13
PRK09490.1	NF007024.0	NCBI Protein Cluster (PRK): methionine synthase	12
PRK07534.1	NF005718.0	NCBI Protein Cluster (PRK): betaine--homocysteine S-methyltransferase	12
PRK07535.1	NF005719.0	NCBI Protein Cluster (PRK): methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	12
PRK09485.1	NF007020.0	NCBI Protein Cluster (PRK): homocysteine S-methyltransferase	12
CODH_ACS_meth	NF040758.1	NCBIFAM: carbon monoxide dehydrogenase/acetyl-CoA synthase methytransferase subunit	11
StbB	NF041292.1	NCBIFAM: StbB family protein	2
TIGR00049	TIGR00049.1	JCVI: iron-sulfur cluster assembly accessory protein	1
PRK13623.1	NF010147.0	NCBI Protein Cluster (PRK): iron-sulfur cluster insertion protein ErpA	1
sufA_proteo	TIGR01997.1	JCVI: Fe-S cluster assembly scaffold SufA	1
IscA	TIGR02011.1	JCVI: iron-sulfur cluster assembly protein IscA	1
PRK09502.1	NF007049.0	NCBI Protein Cluster (PRK): iron-sulfur cluster assembly protein IscA	1
PRK09504.1	NF007050.0	NCBI Protein Cluster (PRK): Fe-S cluster assembly scaffold SufA	1
IscA_HesB_Se	NF038090.1	NCBIFAM: IscA/HesB family protein	1
YhgI_GntY	TIGR03341.1	JCVI: Fe-S biogenesis protein NfuA	2
HesB_rel_seleno	TIGR01911.1	JCVI: HesB-like selenoprotein	1
PRK11190.1	NF008392.0	NCBI Protein Cluster (PRK): Fe-S biogenesis protein NfuA	2
ErpA_rel	NF033940.1	NCBIFAM: ErpA-related iron-sulfur cluster insertion protein	1
PRK13938.1	NF010547.0	NCBI Protein Cluster (PRK): D-sedoheptulose 7-phosphate isomerase	1
PRK13936.1	NF010546.0	NCBI Protein Cluster (PRK): phosphoheptose isomerase	1
PRK10886.1	NF008138.0	NCBI Protein Cluster (PRK): DnaA initiator-associating protein DiaA	1
PRK02947.1	NF002805.0	NCBI Protein Cluster (PRK): sugar isomerase domain-containing protein	2
PRK15197.1	NF011744.0	NCBI Protein Cluster (PRK): SPI-2 type III secretion system effector PipB	9
PRK15196.1	NF011743.0	NCBI Protein Cluster (PRK): type III secretion system effector PipB2	7
mfpA_AE000516.2	NF000349.1	NCBIFAM: pentapeptide repeat protein MfpA	10
penta_rpt_Qnr	NF033086.2	NCBIFAM: Qnr family pentapeptide repeat protein	10
penta_rpt_QnrE	NF033375.2	NCBIFAM: QnrE family quinolone resistance pentapeptide repeat protein	6
penta_rpt_QnrS	NF000056.3	NCBIFAM: QnrS family quinolone resistance pentapeptide repeat protein	6
penta_rpt_QnrC	NF012152.0	NCBIFAM: QnrC family quinolone resistance pentapeptide repeat protein	9
penta_rpt_QnrB	NF000420.1	NCBIFAM: QnrB family quinolone resistance pentapeptide repeat protein	6
PRK15377.1	NF011904.1	NCBI Protein Cluster (PRK): type III secretion system effector HECT-type E3 ubiquitin transferase	4
penta_rpt_QnrAS	NF012151.0	NCBIFAM: QnrAS family quinolone resistance pentapeptide repeat protein	8
penta_rpt_QnrD	NF000139.2	NCBIFAM: QnrD family quinolone resistance pentapeptide repeat protein	6
penta_rpt_QnrVC	NF000421.1	NCBIFAM: QnrVC family quinolone resistance pentapeptide repeat protein	9
T4SS_IcmE_DotG	NF033900.0	NCBIFAM: type IVB secretion system protein DotG/IcmE	7
Superox_dis_Halo	NF041312.1	NCBIFAM: superoxide dismutase	3
PRK10925.1	NF008177.0	NCBI Protein Cluster (PRK): superoxide dismutase [Mn]	3
PRK10543.1	NF007832.0	NCBI Protein Cluster (PRK): superoxide dismutase [Fe]	3
spore_ytvI	TIGR02872.1	JCVI: sporulation integral membrane protein YtvI	3
efflux_ABUW_0982	NF045801.1	NCBIFAM: chloramphenicol efflux transporter CxpE	2
PRK12287.1	NF008930.0	NCBI Protein Cluster (PRK): AI-2E family transporter	2
PRK06247.1	NF004886.0	NCBI Protein Cluster (PRK): pyruvate kinase	5
PRK05826.1	NF004491.0	NCBI Protein Cluster (PRK): pyruvate kinase	4
rnd	TIGR01388.1	JCVI: ribonuclease D	2
PRK14867.1	NF011438.0	NCBI Protein Cluster (PRK): DNA topoisomerase VI subunit B	2
circ_ocin_uber	TIGR03651.1	JCVI: circular bacteriocin, circularin A/uberolysin family	2
PRK07565.1	NF005741.0	NCBI Protein Cluster (PRK): dihydroorotate dehydrogenase-like protein	3
PRK07695.1	NF005819.0	NCBI Protein Cluster (PRK): thiazole tautomerase TenI	7
PRK00278.1-1	NF001369.0	NCBI Protein Cluster (PRK): indole-3-glycerol phosphate synthase TrpC	4
WbuZ	TIGR03572.1	JCVI: glycosyl amidation-associated protein WbuZ	3
PRK09701.1	NF007254.0	NCBI Protein Cluster (PRK): D-allose transporter substrate-binding protein	4
xylF	TIGR02634.1	JCVI: D-xylose ABC transporter substrate-binding protein	4
PRK10370.1	NF007692.0	NCBI Protein Cluster (PRK): heme lyase NrfEFG subunit NrfG	3
chp_LLNDYxLRE	TIGR03976.1	JCVI: His-Xaa-Ser system protein HxsD	5
hi_GC_TIGR00026	TIGR00026.1	JCVI: nitroreductase family deazaflavin-dependent oxidoreductase	1
PRK08202.1	NF006054.0	NCBI Protein Cluster (PRK): purine-nucleoside phosphorylase	1
PNPH	TIGR01700.1	JCVI: purine nucleoside phosphorylase I, inosine and guanosine-specific	1
PNPH-PUNA-XAPA	TIGR01697.1	JCVI: inosine/guanosine/xanthosine phosphorylase family	1
PUNP	TIGR01698.1	JCVI: purine-nucleoside phosphorylase	1
XAPA	TIGR01699.1	JCVI: xanthosine phosphorylase	1
MTAP	TIGR01694.1	JCVI: S-methyl-5'-thioadenosine phosphorylase	1
PRK08564.1	NF006334.0	NCBI Protein Cluster (PRK): S-methyl-5'-thioadenosine phosphorylase	1
PRK09136.1	NF006599.0	NCBI Protein Cluster (PRK): S-methyl-5'-thioinosine phosphorylase	1
PRK07823.1	NF005876.0	NCBI Protein Cluster (PRK): S-methyl-5'-thioadenosine phosphorylase	1
PRK07432.1	NF005657.0	NCBI Protein Cluster (PRK): S-methyl-5'-thioadenosine phosphorylase	1
PRK08931.1	NF006492.0	NCBI Protein Cluster (PRK): S-methyl-5'-thioadenosine phosphorylase	1
PRK00784.1	NF001989.1	NCBI Protein Cluster (PRK): cobyric acid synthase	10
cobQ	TIGR00313.1	JCVI: cobyric acid synthase CobQ	5
PRK01077.1	NF002204.1	NCBI Protein Cluster (PRK): cobyrinate a,c-diamide synthase	9
cobB	TIGR00379.1	JCVI: cobyrinic/hydrogenobyrinic acid a,c-diamide synthase	4
PRK06278.1	NF004921.0	NCBI Protein Cluster (PRK): cobyrinic acid a,c-diamide synthase	7
bioD	TIGR00347.1	JCVI: dethiobiotin synthase	2
isoglutsynth_GatD	NF045636.1	NCBIFAM: lipid II isoglutaminyl synthase subunit GatD	3
PRK14121.1	NF010719.0	NCBI Protein Cluster (PRK): tRNA (guanosine(46)-N7)-methyltransferase TrmB	3
Pse_Me-ase	TIGR03587.1	JCVI: pseudaminic acid biosynthesis-associated methylase	9
GMC_mycofac_2	TIGR04542.1	JCVI: mycofactocin system GMC family oxidoreductase MftG	6
Rv0697	TIGR03970.1	JCVI: mycofactocin system GMC family oxidoreductase MftG	6
PRK02106.1	NF002550.0	NCBI Protein Cluster (PRK): choline dehydrogenase	6
PRK13915.1	NF010496.0	NCBI Protein Cluster (PRK): glucosyl-3-phosphoglycerate synthase	8
wcaE	TIGR04009.1	JCVI: colanic acid biosynthesis glycosyltransferase WcaE	7
glyco_TIGR04182	TIGR04182.1	JCVI: S-layer glycoprotein N-glycosyltransferase AglJ	8
PRK07726.1	NF005829.0	NCBI Protein Cluster (PRK): DNA topoisomerase 3	9
topB	TIGR01056.1	JCVI: DNA topoisomerase III	9
PRK08173.1	NF006032.0	NCBI Protein Cluster (PRK): DNA topoisomerase III	11
PRK14724.1	NF011313.0	NCBI Protein Cluster (PRK): DNA topoisomerase III	9
topA_arch	TIGR01057.1	JCVI: DNA topoisomerase I	10
PRK05776.1	NF004438.0	NCBI Protein Cluster (PRK): DNA topoisomerase I	9
topA_bact	TIGR01051.1	JCVI: type I DNA topoisomerase	12
PRK14973.1	NF011532.0	NCBI Protein Cluster (PRK): DNA topoisomerase I	15
PRK08780.1	NF006451.0	NCBI Protein Cluster (PRK): DNA topoisomerase I	10
PRK06319.1	NF004966.0	NCBI Protein Cluster (PRK): DNA topoisomerase I/SWI domain fusion protein	15
ant_diox_AndAb	NF041683.1	NCBIFAM: anthranilate 1,2-dioxygenase ferredoxin subunit AndAb	4
PRK09965.1	NF007422.0	NCBI Protein Cluster (PRK): bifunctional 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	4
3PPDioc_HcaC	NF042948.2	NCBIFAM: 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	4
nirD_assim_sml	TIGR02378.1	JCVI: nitrite reductase small subunit NirD	5
MocE_fam_FeS	TIGR02377.1	JCVI: MocE family 2Fe-2S type ferredoxin	4
MamZ	NF040998.1	NCBIFAM: magnetosome biogenesis transporter MamZ	2
PRK05419.1-5	NF003833.0	NCBI Protein Cluster (PRK): protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	2
PRK05419.2-2	NF003835.0	NCBI Protein Cluster (PRK): protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	4
PRK05419.2-3	NF003836.0	NCBI Protein Cluster (PRK): protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	4
SDX_Thmprot	NF041174.1	NCBIFAM: sulredoxin	1
myo_inos_iolB	TIGR04378.1	JCVI: 5-deoxy-glucuronate isomerase	1
coaBC_dfp	TIGR00521.1	JCVI: bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	1
NagK_SO3507	NF046058.1	NCBIFAM: N-acetylglucosamine kinase	1
PRK00549.1	NF001813.0	NCBI Protein Cluster (PRK): competence/damage-inducible protein A	4
PRK01215.1	NF002291.0	NCBI Protein Cluster (PRK): nicotinamide mononucleotide deamidase-related protein	1
cinA_nterm	TIGR00200.1	JCVI: CinA family nicotinamide mononucleotide deamidase-related protein	3
D_Ser_am_lyase	TIGR02035.1	JCVI: D-serine ammonia-lyase	7
PRK02991.1	NF002823.0	NCBI Protein Cluster (PRK): D-serine ammonia-lyase	7
diampropi_NH3ly	TIGR01747.1	JCVI: diaminopropionate ammonia-lyase family	6
PRK10447.1	NF007765.0	NCBI Protein Cluster (PRK): FtsH protease modulator YccA	1
PhnG_redo	TIGR03293.1	JCVI: phosphonate C-P lyase system protein PhnG	1
SigPepSipWBacil	NF046067.1	NCBIFAM: signal peptidase I SipW	1
PRK11118.1	NF008333.0	NCBI Protein Cluster (PRK): monooxygenase	1
PRK07811.1	NF005871.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase	9
PRK06176.1	NF004821.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase	7
PRK07671.1	NF005810.0	NCBI Protein Cluster (PRK): bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase	8
O_succ_thio_ly	TIGR02080.1	JCVI: cystathionine gamma-synthase	8
PRK08064.1	NF005976.0	NCBI Protein Cluster (PRK): cystathionine beta-lyase	7
PRK08776.1	NF006450.0	NCBI Protein Cluster (PRK): O-succinylhomoserine (thiol)-lyase	7
met_gam_lyase	TIGR01328.1	JCVI: methionine gamma-lyase	10
PRK06767.1	NF005263.0	NCBI Protein Cluster (PRK): methionine gamma-lyase	8
PRK06234.1	NF004876.0	NCBI Protein Cluster (PRK): methionine gamma-lyase	7
PRK08861.1	NF006463.0	NCBI Protein Cluster (PRK): O-succinylhomoserine (thiol)-lyase	8
PRK08247.1	NF006095.0	NCBI Protein Cluster (PRK): methionine biosynthesis PLP-dependent protein	8
PRK08045.1	NF005961.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase	8
cysta_beta_ly_E	TIGR01329.1	JCVI: cystathionine beta-lyase	7
CysBLyMetC_Staph	NF043007.1	NCBIFAM: cystathionine beta-lyase MetC	7
PRK07582.1	NF005758.0	NCBI Protein Cluster (PRK): cystathionine gamma-lyase	9
OAH_OAS_sulfhy	TIGR01326.1	JCVI: O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	14
PRK08249.1	NF006097.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase family protein	7
PRK06460.1	NF005047.0	NCBI Protein Cluster (PRK): hypothetical protein	8
PRK07269.1	NF005577.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase	7
PRK07812.1	NF005872.0	NCBI Protein Cluster (PRK): bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase	13
PRK08134.1	NF006004.0	NCBI Protein Cluster (PRK): O-acetylhomoserine aminocarboxypropyltransferase	13
PRK05994.1	NF004650.0	NCBI Protein Cluster (PRK): O-acetylhomoserine aminocarboxypropyltransferase	13
PRK08248.1	NF006096.0	NCBI Protein Cluster (PRK): homocysteine synthase	15
ala_glut_racmase_Arch	NF041088.1	NCBIFAM: bifunctional L-alanine/L-glutamate racemase	7
PRK07504.1	NF005696.0	NCBI Protein Cluster (PRK): O-succinylhomoserine sulfhydrylase	7
PRK06434.1	NF005026.0	NCBI Protein Cluster (PRK): cystathionine gamma-lyase	7
PRK05968.1	NF004627.0	NCBI Protein Cluster (PRK): hypothetical protein	7
PRK06084.1	NF004757.0	NCBI Protein Cluster (PRK): bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	13
PRK07810.1	NF005870.0	NCBI Protein Cluster (PRK): O-succinylhomoserine sulfhydrylase	7
PRK07049.1	NF005455.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase family protein	8
PRK05613.1	NF004125.0	NCBI Protein Cluster (PRK): O-acetylhomoserine/O-acetylserine sulfhydrylase	14
PRK05939.1	NF004609.0	NCBI Protein Cluster (PRK): cystathionine gamma-synthase family protein	15
cysta_beta_ly_B	TIGR01324.1	JCVI: cystathionine beta-lyase	7
PRK05967.1	NF004626.0	NCBI Protein Cluster (PRK): cystathionine beta-lyase	7
PRK07050.1	NF005456.0	NCBI Protein Cluster (PRK): cystathionine beta-lyase	7
PRK09028.1	NF006538.0	NCBI Protein Cluster (PRK): cystathionine beta-lyase	7
PRK08114.1	NF005990.0	NCBI Protein Cluster (PRK): cystathionine beta-lyase	6
PAGG_Syn_BesB	NF042918.1	NCBIFAM: L-2-amino-4-chloropent-4-enoate dechlorinase/desaturase BesB	7
PRK00971.1-4	NF002134.0	NCBI Protein Cluster (PRK): glutaminase	1
Gln_ase	TIGR03814.1	JCVI: glutaminase A	1
PRK12356.1	NF009020.0	NCBI Protein Cluster (PRK): glutaminase A	1
PRK00971.1-2	NF002133.0	NCBI Protein Cluster (PRK): glutaminase	1
PRK12357.1	NF009021.0	NCBI Protein Cluster (PRK): glutaminase	1
PRK00971.1-1	NF002132.0	NCBI Protein Cluster (PRK): glutaminase B	1
leader_Chryseo	NF047798.1	NCBIFAM: putative bacteriocin leader peptide	3
CCPGW_fam	NF047792.1	NCBIFAM: CCPGW family putative bacteriocin	3
ycfN_thiK	TIGR02721.1	JCVI: thiamine kinase	3
lant_syn_V_LxmK	NF038156.1	NCBIFAM: class V lanthionine synthetase subunit LxmK	3
PRK10271.1	NF007620.0	NCBI Protein Cluster (PRK): thiamine kinase	1
wecB	TIGR00236.1	JCVI: non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase	1
NeuC_NnaA	TIGR03568.1	JCVI: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)	1
PRK10209.1	NF007577.0	NCBI Protein Cluster (PRK): HdeD family acid-resistance protein	2
staphy_B_SbnI	NF033589.0	NCBIFAM: bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI	1
exo_poly_only	TIGR03706.1	JCVI: exopolyphosphatase	3
PRK10854.1	NF008108.0	NCBI Protein Cluster (PRK): exopolyphosphatase	3
PRK11031.1	NF008260.0	NCBI Protein Cluster (PRK): guanosine-5'-triphosphate,3'-diphosphate diphosphatase	3
SIR2_antiphage	NF042942.1	NCBIFAM: SIR2 family anti-phage-associated protein	11
PRK00509.1	NF001770.0	NCBI Protein Cluster (PRK): argininosuccinate synthase	6
DisulfRedDsbH	NF043050.1	NCBIFAM: disulfide reductase DsbH	1
TIGR03491	TIGR03491.1	JCVI: TM0106 family RecB-like putative nuclease	1
TPR_END_plus	NF047558.1	NCBIFAM: TPR end-of-group domain	12
PRK11788.1-4	NF008756.0	NCBI Protein Cluster (PRK): lipopolysaccharide assembly protein LapB	1
cas2	TIGR01573.1	JCVI: CRISPR-associated endonuclease Cas2	2
Bacteroid_MobA	NF041324.1	NCBIFAM: conjugal transfer protein MobA	5
PRK07571.1	NF005747.0	NCBI Protein Cluster (PRK): bidirectional hydrogenase complex protein HoxE	2
PRK07539.1-2	NF005722.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoE	3
PRK05988.1	NF004638.0	NCBI Protein Cluster (PRK): formate dehydrogenase subunit gamma	2
nuoE_fam	TIGR01958.1	JCVI: NADH-quinone oxidoreductase subunit NuoE	3
PRK07539.1-5	NF005725.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoE	2
PRK07539.1-1	NF005721.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoE	2
PRK07539.1-3	NF005723.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoE	2
PRK07539.1-4	NF005724.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoE	3
PRK12373.1	NF009040.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit E	2
PRK01678.1	NF002462.1	NCBI Protein Cluster (PRK): type B 50S ribosomal protein L31	1
L31	TIGR00105.1	JCVI: 50S ribosomal protein L31	1
PRK00528.1	NF001809.0	NCBI Protein Cluster (PRK): 50S ribosomal protein L31	1
PRK00019.1	NF000612.0	NCBI Protein Cluster (PRK): 50S ribosomal protein L31	1
PRK04435.1	NF003361.0	NCBI Protein Cluster (PRK): ACT domain-containing protein	1
Rhs_assc_core	TIGR03696.1	JCVI: RHS repeat-associated core domain	13
yfiA	TIGR00741.1	JCVI: ribosome hibernation-promoting factor, HPF/YfiA family	4
PRK10470.1	NF007780.0	NCBI Protein Cluster (PRK): ribosome hibernation promoting factor	2
PRK11445.1	NF008519.0	NCBI Protein Cluster (PRK): FAD-binding protein	6
PRK15061.1	NF011635.0	NCBI Protein Cluster (PRK): catalase/peroxidase	3
cat_per_HPI	TIGR00198.1	JCVI: catalase/peroxidase HPI	3
pfaD_fam	TIGR02814.1	JCVI: PfaD family polyunsaturated fatty acid/polyketide biosynthesis domain	4
AglZ_HisF2_fam	NF038364.1	NCBIFAM: AglZ/HisF2 family acetamidino modification protein	3
PRK02304.1-3	NF002634.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	3
coreg_MerD	NF033783.1	NCBIFAM: mercury resistance co-regulator MerD	7
Bacteroid_MobC	NF041326.1	NCBIFAM: conjugal transfer protein MobC	8
TrbC_conju	NF041447.1	NCBIFAM: F-type conjugative transfer protein TrbC	9
TIGR00051	TIGR00051.1	JCVI: YbgC/FadM family acyl-CoA thioesterase	3
MenI_Staph	NF047424.1	NCBIFAM: 1,4-dihydroxy-2-naphthoyl-CoA hydrolase MenI, staphylococcal type	1
PRK10800.1	NF008065.0	NCBI Protein Cluster (PRK): tol-pal system-associated acyl-CoA thioesterase	1
wecD_rffC	TIGR02382.1	JCVI: dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	5
AAC_6p_III	NF038102.1	NCBIFAM: tobramycin N-acetyltransferase AAC(6')-III	1
PRK10387.1	NF007702.0	NCBI Protein Cluster (PRK): glutaredoxin 2	5
