Most Frequent Protein ID	Frequency	Description
WP_183806045.1	1	hypothetical protein
WP_183806047.1	1	hypothetical protein
WP_183806049.1	1	hypothetical protein
WP_246699682.1	1	hypothetical protein
WP_183806053.1	1	hypothetical protein
WP_183806057.1	1	hypothetical protein
WP_183806058.1	1	hypothetical protein
WP_183806059.1	1	hypothetical protein
WP_373086120.1	1	hypothetical protein
WP_309449908.1	1	hypothetical protein
WP_309449909.1	1	hypothetical protein
WP_309449910.1	1	hypothetical protein
WP_309449911.1	1	hypothetical protein
WP_309449912.1	1	hypothetical protein
WP_309449916.1	1	hypothetical protein
WP_059960004.1	1	hypothetical protein
WP_059960007.1	1	hypothetical protein
WP_159099179.1	1	hypothetical protein
WP_108807544.1	1	hypothetical protein
WP_218788118.1	1	hypothetical protein
WP_218788120.1	1	hypothetical protein
WP_218788126.1	1	hypothetical protein
WP_088101806.1	1	hypothetical protein
WP_259265813.1	1	hypothetical protein
WP_072523150.1	1	hypothetical protein
WP_072523157.1	1	hypothetical protein
WP_163212298.1	1	hypothetical protein
WP_163212300.1	1	hypothetical protein
WP_163212302.1	1	hypothetical protein
WP_406721495.1	1	hypothetical protein
WP_406721497.1	1	hypothetical protein
WP_406721500.1	1	hypothetical protein
WP_197089853.1	1	hypothetical protein
WP_049615889.1	1	hypothetical protein
WP_154376219.1	1	hypothetical protein
WP_154376221.1	1	hypothetical protein
WP_154376225.1	1	hypothetical protein
WP_154376228.1	1	hypothetical protein
WP_154376230.1	1	hypothetical protein
WP_154376234.1	1	hypothetical protein
WP_154376236.1	1	hypothetical protein
WP_371438402.1	1	hypothetical protein
WP_371438403.1	1	hypothetical protein
WP_012204455.1	1	hypothetical protein
WP_371438405.1	1	hypothetical protein
WP_371438406.1	1	hypothetical protein
WP_371438409.1	1	hypothetical protein
WP_201635699.1	1	hypothetical protein
WP_347338357.1	1	hypothetical protein
WP_201635705.1	1	hypothetical protein
WP_201635709.1	1	hypothetical protein
WP_274858137.1	1	hypothetical protein
WP_151352289.1	1	hypothetical protein
WP_017277519.1	1	hypothetical protein
WP_017277520.1	1	hypothetical protein
WP_011971014.1	1	hypothetical protein
WP_304745580.1	1	hypothetical protein
WP_304745582.1	1	hypothetical protein
WP_304745584.1	1	hypothetical protein
WP_304745586.1	1	hypothetical protein
WP_076008408.1	1	hypothetical protein
WP_333766166.1	1	hypothetical protein
WP_333766167.1	1	hypothetical protein
WP_333766168.1	1	hypothetical protein
WP_333766169.1	1	hypothetical protein
WP_273457410.1	1	hypothetical protein
WP_273457412.1	1	hypothetical protein
WP_273457414.1	1	hypothetical protein
WP_279360765.1	1	hypothetical protein
WP_279360766.1	1	hypothetical protein
WP_279360768.1	1	hypothetical protein
WP_279360769.1	1	hypothetical protein
WP_279360770.1	1	hypothetical protein
WP_279360772.1	1	hypothetical protein
WP_152181307.1	1	hypothetical protein
WP_279360775.1	1	hypothetical protein
WP_289503002.1	1	hypothetical protein
WP_289503005.1	1	hypothetical protein
WP_289503006.1	1	hypothetical protein
WP_289503007.1	1	hypothetical protein
WP_289503008.1	1	hypothetical protein
WP_247454893.1	1	hypothetical protein
WP_155410746.1	1	hypothetical protein
WP_102291623.1	1	hypothetical protein
WP_137003368.1	1	hypothetical protein
WP_137003371.1	1	hypothetical protein
WP_395658104.1	1	hypothetical protein
WP_395658107.1	1	hypothetical protein
WP_395658110.1	1	hypothetical protein
WP_279526291.1	1	hypothetical protein
WP_294346887.1	1	hypothetical protein
WP_294346891.1	1	hypothetical protein
WP_294346894.1	1	hypothetical protein
WP_294346896.1	1	hypothetical protein
WP_257251776.1	1	hypothetical protein
WP_343177594.1	1	hypothetical protein
WP_343177595.1	1	hypothetical protein
WP_343177596.1	1	hypothetical protein
WP_343177598.1	1	hypothetical protein
WP_254566464.1	1	hypothetical protein
WP_254566465.1	1	hypothetical protein
WP_254566467.1	1	hypothetical protein
WP_254566469.1	1	hypothetical protein
WP_254566471.1	1	hypothetical protein
WP_254566472.1	1	hypothetical protein
WP_254566473.1	1	hypothetical protein
WP_369987544.1	1	hypothetical protein
WP_369987549.1	1	hypothetical protein
WP_056791702.1	1	hypothetical protein
WP_363142849.1	1	hypothetical protein
WP_363142852.1	1	hypothetical protein
WP_363142853.1	1	hypothetical protein
WP_363142857.1	1	hypothetical protein
WP_034022687.1	1	hypothetical protein
WP_123182713.1	1	hypothetical protein
WP_123182714.1	1	hypothetical protein
WP_123182715.1	1	hypothetical protein
WP_123182717.1	1	hypothetical protein
WP_123182719.1	1	hypothetical protein
WP_123182720.1	1	hypothetical protein
WP_157003281.1	1	hypothetical protein
WP_198139644.1	1	hypothetical protein
WP_157003282.1	1	hypothetical protein
WP_133673274.1	1	hypothetical protein
WP_133673276.1	1	hypothetical protein
WP_133673277.1	1	hypothetical protein
WP_133673279.1	1	hypothetical protein
WP_196360690.1	1	hypothetical protein
WP_266001527.1	1	hypothetical protein
WP_266001532.1	1	hypothetical protein
WP_266001533.1	1	hypothetical protein
WP_261762451.1	1	hypothetical protein
WP_261762452.1	1	hypothetical protein
WP_261762453.1	1	hypothetical protein
WP_261762456.1	1	hypothetical protein
WP_407798410.1	1	hypothetical protein
WP_044350595.1	1	hypothetical protein
WP_044350593.1	1	hypothetical protein
WP_109822853.1	1	hypothetical protein
WP_093352834.1	1	hypothetical protein
WP_093352836.1	1	hypothetical protein
WP_093352839.1	1	hypothetical protein
WP_093352845.1	1	hypothetical protein
WP_146134426.1	1	hypothetical protein
WP_281260222.1	1	hypothetical protein
WP_135794924.1	1	hypothetical protein
WP_135794925.1	1	hypothetical protein
WP_135794927.1	1	hypothetical protein
WP_135794929.1	1	hypothetical protein
WP_135794930.1	1	hypothetical protein
WP_135794931.1	1	hypothetical protein
WP_135794933.1	1	hypothetical protein
WP_068974436.1	1	hypothetical protein
WP_068974433.1	1	hypothetical protein
WP_068974432.1	1	hypothetical protein
WP_068974430.1	1	hypothetical protein
WP_068974429.1	1	hypothetical protein
WP_068974428.1	1	hypothetical protein
WP_290922321.1	1	hypothetical protein
WP_290922337.1	1	hypothetical protein
WP_290922340.1	1	hypothetical protein
WP_290922348.1	1	hypothetical protein
WP_290922354.1	1	hypothetical protein
WP_265270510.1	1	hypothetical protein
WP_265270512.1	1	hypothetical protein
WP_265270514.1	1	hypothetical protein
WP_265270516.1	1	hypothetical protein
WP_265270518.1	1	hypothetical protein
WP_265270521.1	1	hypothetical protein
WP_219605177.1	1	hypothetical protein
WP_373220195.1	1	hypothetical protein
WP_373220197.1	1	hypothetical protein
WP_373102891.1	1	hypothetical protein
WP_373102895.1	1	hypothetical protein
WP_233457148.1	1	hypothetical protein
WP_292573033.1	1	hypothetical protein
WP_292573039.1	1	hypothetical protein
WP_035782358.1	1	hypothetical protein
WP_252238506.1	1	hypothetical protein
WP_252238507.1	1	hypothetical protein
WP_252238509.1	1	hypothetical protein
WP_279119278.1	1	hypothetical protein
WP_279119287.1	1	hypothetical protein
WP_005949748.1	1	hypothetical protein
WP_013752364.1	1	hypothetical protein
WP_013752365.1	1	hypothetical protein
WP_013752367.1	1	hypothetical protein
WP_148236012.1	1	hypothetical protein
WP_013752369.1	1	hypothetical protein
WP_245444016.1	1	hypothetical protein
WP_119921896.1	1	hypothetical protein
WP_245444018.1	1	hypothetical protein
WP_161613051.1	1	hypothetical protein
WP_154673521.1	1	hypothetical protein
WP_036945727.1	1	hypothetical protein
WP_036945733.1	1	hypothetical protein
WP_036945735.1	1	hypothetical protein
WP_160317775.1	1	hypothetical protein
WP_050753996.1	1	hypothetical protein
WP_050753997.1	1	hypothetical protein
WP_036945863.1	1	hypothetical protein
WP_160317777.1	1	hypothetical protein
WP_189412270.1	1	hypothetical protein
WP_189412271.1	1	hypothetical protein
WP_189412272.1	1	hypothetical protein
WP_189412273.1	1	hypothetical protein
WP_189412274.1	1	hypothetical protein
WP_066289699.1	1	hypothetical protein
WP_231938561.1	1	hypothetical protein
WP_231938562.1	1	hypothetical protein
WP_231938563.1	1	hypothetical protein
WP_007989165.1	1	hypothetical protein
WP_238540705.1	1	hypothetical protein
WP_267175551.1	1	hypothetical protein
WP_267175552.1	1	hypothetical protein
WP_267175553.1	1	hypothetical protein
WP_267175554.1	1	hypothetical protein
WP_267175555.1	1	hypothetical protein
WP_267175556.1	1	hypothetical protein
WP_267175559.1	1	hypothetical protein
WP_240848247.1	1	hypothetical protein
WP_240848248.1	1	hypothetical protein
WP_240848249.1	1	hypothetical protein
WP_240848250.1	1	hypothetical protein
WP_240848252.1	1	hypothetical protein
WP_240848253.1	1	hypothetical protein
WP_133126014.1	1	hypothetical protein
WP_133126015.1	1	hypothetical protein
WP_101518525.1	1	hypothetical protein
WP_207796464.1	1	hypothetical protein
WP_081988629.1	1	hypothetical protein
WP_290627832.1	1	hypothetical protein
WP_290627834.1	1	hypothetical protein
WP_290627840.1	1	hypothetical protein
WP_290627842.1	1	hypothetical protein
WP_290627846.1	1	hypothetical protein
WP_287306683.1	1	hypothetical protein
WP_287306691.1	1	hypothetical protein
WP_287306693.1	1	hypothetical protein
WP_287306695.1	1	hypothetical protein
WP_225287591.1	1	hypothetical protein
WP_225287593.1	1	hypothetical protein
WP_414476832.1	1	hypothetical protein
WP_422703771.1	1	hypothetical protein
WP_221002053.1	1	hypothetical protein
WP_058818166.1	1	hypothetical protein
WP_055903041.1	1	hypothetical protein
WP_055903043.1	1	hypothetical protein
WP_157255306.1	1	hypothetical protein
WP_055903055.1	1	hypothetical protein
WP_200337799.1	1	hypothetical protein
WP_200337800.1	1	hypothetical protein
WP_200337802.1	1	hypothetical protein
WP_200337804.1	1	hypothetical protein
WP_200337806.1	1	hypothetical protein
WP_343751565.1	1	hypothetical protein
WP_343751568.1	1	hypothetical protein
WP_343751569.1	1	hypothetical protein
WP_343751571.1	1	hypothetical protein
WP_343751572.1	1	hypothetical protein
WP_254509553.1	1	hypothetical protein
WP_254509557.1	1	hypothetical protein
WP_254509559.1	1	hypothetical protein
WP_254509560.1	1	hypothetical protein
WP_214250355.1	1	hypothetical protein
WP_198580764.1	1	hypothetical protein
WP_214250356.1	1	hypothetical protein
WP_214250357.1	1	hypothetical protein
WP_313534209.1	1	hypothetical protein
WP_313534213.1	1	hypothetical protein
WP_313534214.1	1	hypothetical protein
WP_238513360.1	1	hypothetical protein
WP_193368048.1	1	hypothetical protein
WP_193368049.1	1	hypothetical protein
WP_193368050.1	1	hypothetical protein
WP_193368051.1	1	hypothetical protein
WP_193368052.1	1	hypothetical protein
WP_193368053.1	1	hypothetical protein
WP_193368054.1	1	hypothetical protein
WP_264373080.1	1	hypothetical protein
WP_231108856.1	1	hypothetical protein
WP_086045254.1	1	hypothetical protein
WP_137417502.1	1	hypothetical protein
WP_234908811.1	1	hypothetical protein
WP_051962484.1	1	hypothetical protein
WP_222257398.1	1	hypothetical protein
WP_222257409.1	1	hypothetical protein
WP_267106126.1	1	hypothetical protein
WP_267106128.1	1	hypothetical protein
WP_267106131.1	1	hypothetical protein
WP_267106133.1	1	hypothetical protein
WP_267106135.1	1	hypothetical protein
WP_402865454.1	1	hypothetical protein
WP_314917628.1	1	hypothetical protein
WP_225614625.1	1	hypothetical protein
WP_192430623.1	1	hypothetical protein
WP_192430625.1	1	hypothetical protein
WP_350587737.1	1	hypothetical protein
WP_192501417.1	1	hypothetical protein
WP_225738156.1	1	hypothetical protein
WP_192501419.1	1	hypothetical protein
WP_157696361.1	1	hypothetical protein
WP_240721436.1	1	hypothetical protein
WP_138608323.1	1	hypothetical protein
WP_138608327.1	1	hypothetical protein
WP_138608329.1	1	hypothetical protein
WP_138608333.1	1	hypothetical protein
WP_109451901.1	1	hypothetical protein
WP_146208101.1	1	hypothetical protein
WP_146208102.1	1	hypothetical protein
WP_146208103.1	1	hypothetical protein
WP_109451906.1	1	hypothetical protein
WP_096651923.1	1	hypothetical protein
WP_096651925.1	1	hypothetical protein
WP_096651935.1	1	hypothetical protein
WP_012455994.1	1	hypothetical protein
WP_402795937.1	1	hypothetical protein
WP_406725491.1	1	hypothetical protein
WP_406725493.1	1	hypothetical protein
WP_406725494.1	1	hypothetical protein
WP_406725499.1	1	hypothetical protein
WP_116443333.1	1	hypothetical protein
WP_157834673.1	1	hypothetical protein
WP_028302095.1	1	hypothetical protein
WP_054048963.1	1	hypothetical protein
WP_054048965.1	1	hypothetical protein
WP_054048966.1	1	hypothetical protein
WP_256207528.1	1	hypothetical protein
WP_247443345.1	1	hypothetical protein
WP_247443358.1	1	hypothetical protein
WP_247443363.1	1	hypothetical protein
WP_247443365.1	1	hypothetical protein
WP_305811141.1	1	hypothetical protein
WP_305811142.1	1	hypothetical protein
WP_305811143.1	1	hypothetical protein
WP_305811144.1	1	hypothetical protein
WP_057052871.1	1	hypothetical protein
WP_126767172.1	1	hypothetical protein
WP_126767180.1	1	hypothetical protein
WP_126767186.1	1	hypothetical protein
WP_093322659.1	1	hypothetical protein
WP_093322661.1	1	hypothetical protein
WP_061009209.1	1	hypothetical protein
WP_061009211.1	1	hypothetical protein
WP_061009212.1	1	hypothetical protein
WP_349082909.1	1	hypothetical protein
WP_349082911.1	1	hypothetical protein
WP_349082915.1	1	hypothetical protein
WP_349082917.1	1	hypothetical protein
WP_349082919.1	1	hypothetical protein
WP_348863488.1	1	hypothetical protein
WP_348863491.1	1	hypothetical protein
WP_157653659.1	1	hypothetical protein
WP_157653660.1	1	hypothetical protein
WP_302948855.1	1	hypothetical protein
WP_302948856.1	1	hypothetical protein
WP_302948858.1	1	hypothetical protein
WP_302948860.1	1	hypothetical protein
WP_176042943.1	1	hypothetical protein
WP_176042948.1	1	hypothetical protein
WP_176042949.1	1	hypothetical protein
WP_176042950.1	1	hypothetical protein
WP_331311707.1	1	hypothetical protein
WP_331311711.1	1	hypothetical protein
WP_331311715.1	1	hypothetical protein
WP_331311716.1	1	hypothetical protein
WP_243249954.1	1	hypothetical protein
WP_243249960.1	1	hypothetical protein
WP_264462922.1	1	hypothetical protein
WP_222064192.1	1	hypothetical protein
WP_222064195.1	1	hypothetical protein
WP_222064196.1	1	hypothetical protein
WP_222064197.1	1	hypothetical protein
WP_038944607.1	1	hypothetical protein
WP_049807888.1	1	hypothetical protein
WP_038944609.1	1	hypothetical protein
WP_038944610.1	1	hypothetical protein
WP_097189428.1	1	hypothetical protein
WP_141401554.1	1	hypothetical protein
WP_141401555.1	1	hypothetical protein
WP_376935439.1	1	hypothetical protein
WP_181238647.1	1	hypothetical protein
WP_320740716.1	1	hypothetical protein
WP_320728518.1	1	hypothetical protein
WP_100554726.1	1	hypothetical protein
WP_100554729.1	1	hypothetical protein
WP_100554730.1	1	hypothetical protein
WP_100554731.1	1	hypothetical protein
WP_245453167.1	1	hypothetical protein
WP_100554734.1	1	hypothetical protein
WP_260641971.1	1	hypothetical protein
WP_260641972.1	1	hypothetical protein
WP_260641974.1	1	hypothetical protein
WP_260641975.1	1	hypothetical protein
WP_312943154.1	1	hypothetical protein
WP_312943156.1	1	hypothetical protein
WP_312943157.1	1	hypothetical protein
WP_312943158.1	1	hypothetical protein
WP_312943160.1	1	hypothetical protein
WP_198806904.1	1	hypothetical protein
WP_221597109.1	1	hypothetical protein
WP_221597111.1	1	hypothetical protein
WP_221601664.1	1	hypothetical protein
WP_124579776.1	1	hypothetical protein
WP_185634176.1	1	hypothetical protein
WP_221625074.1	1	hypothetical protein
WP_124579782.1	1	hypothetical protein
WP_124579790.1	1	hypothetical protein
WP_124579792.1	1	hypothetical protein
WP_377263267.1	1	hypothetical protein
WP_377263271.1	1	hypothetical protein
WP_377263275.1	1	hypothetical protein
WP_082280870.1	1	hypothetical protein
WP_082280872.1	1	hypothetical protein
WP_061250478.1	1	hypothetical protein
WP_061250476.1	1	hypothetical protein
WP_001093226.1	1	hypothetical protein
WP_082280873.1	1	hypothetical protein
WP_082280874.1	1	hypothetical protein
WP_154645522.1	1	hypothetical protein
WP_154645523.1	1	hypothetical protein
WP_154645525.1	1	hypothetical protein
WP_061250479.1	1	hypothetical protein
WP_082270511.1	1	hypothetical protein
WP_200660246.1	1	hypothetical protein
WP_200660244.1	1	hypothetical protein
WP_200660243.1	1	hypothetical protein
WP_200660240.1	1	hypothetical protein
WP_358193538.1	1	hypothetical protein
WP_358193542.1	1	hypothetical protein
WP_358193543.1	1	hypothetical protein
WP_304060184.1	1	hypothetical protein
WP_304060188.1	1	hypothetical protein
WP_304060190.1	1	hypothetical protein
WP_304060192.1	1	hypothetical protein
WP_304060193.1	1	hypothetical protein
WP_304060194.1	1	hypothetical protein
WP_304060195.1	1	hypothetical protein
WP_304060196.1	1	hypothetical protein
WP_253992243.1	1	hypothetical protein
WP_253992244.1	1	hypothetical protein
WP_267145137.1	1	hypothetical protein
WP_170057484.1	1	hypothetical protein
WP_222934690.1	1	hypothetical protein
WP_170057487.1	1	hypothetical protein
WP_170057489.1	1	hypothetical protein
WP_170057490.1	1	hypothetical protein
WP_345781909.1	1	hypothetical protein
WP_279936399.1	1	hypothetical protein
WP_279936400.1	1	hypothetical protein
WP_279936401.1	1	hypothetical protein
WP_180884453.1	1	hypothetical protein
WP_061438965.1	1	hypothetical protein
WP_333973291.1	1	hypothetical protein
WP_333973292.1	1	hypothetical protein
WP_333973293.1	1	hypothetical protein
WP_409360633.1	1	hypothetical protein
WP_407193766.1	1	hypothetical protein
WP_407193769.1	1	hypothetical protein
WP_407193770.1	1	hypothetical protein
WP_407193771.1	1	hypothetical protein
WP_407193774.1	1	hypothetical protein
WP_154606627.1	1	hypothetical protein
WP_017692646.1	1	hypothetical protein
WP_235836694.1	1	hypothetical protein
WP_047723294.1	1	hypothetical protein
WP_127665889.1	1	hypothetical protein
WP_234841657.1	1	hypothetical protein
WP_127665890.1	1	hypothetical protein
WP_318895574.1	1	hypothetical protein
WP_154860002.1	1	hypothetical protein
WP_154860003.1	1	hypothetical protein
WP_154860006.1	1	hypothetical protein
WP_322871262.1	1	hypothetical protein
WP_322871264.1	1	hypothetical protein
WP_322871267.1	1	hypothetical protein
WP_339491365.1	1	hypothetical protein
WP_284428123.1	1	hypothetical protein
WP_272563685.1	1	hypothetical protein
WP_084016835.1	1	hypothetical protein
WP_084016836.1	1	hypothetical protein
WP_084016837.1	1	hypothetical protein
WP_084016840.1	1	hypothetical protein
WP_084016841.1	1	hypothetical protein
WP_084016845.1	1	hypothetical protein
WP_373881115.1	1	hypothetical protein
WP_373881116.1	1	hypothetical protein
WP_373881117.1	1	hypothetical protein
WP_373881118.1	1	hypothetical protein
WP_386104232.1	1	hypothetical protein
WP_408046129.1	1	hypothetical protein
WP_408046131.1	1	hypothetical protein
WP_408046133.1	1	hypothetical protein
WP_408046134.1	1	hypothetical protein
WP_408046135.1	1	hypothetical protein
WP_408046136.1	1	hypothetical protein
WP_074239317.1	1	hypothetical protein
WP_074239320.1	1	hypothetical protein
WP_074239322.1	1	hypothetical protein
WP_396593828.1	1	hypothetical protein
WP_396593829.1	1	hypothetical protein
WP_396593830.1	1	hypothetical protein
WP_396593834.1	1	hypothetical protein
WP_171019353.1	1	hypothetical protein
WP_074307149.1	1	hypothetical protein
WP_074307151.1	1	hypothetical protein
WP_074307153.1	1	hypothetical protein
WP_074307154.1	1	hypothetical protein
WP_074307155.1	1	hypothetical protein
WP_143206310.1	1	hypothetical protein
WP_166486971.1	1	hypothetical protein
WP_166486970.1	1	hypothetical protein
WP_218089137.1	1	hypothetical protein
WP_013657794.1	1	hypothetical protein
WP_013657795.1	1	hypothetical protein
WP_013657797.1	1	hypothetical protein
WP_013657798.1	1	hypothetical protein
WP_281005135.1	1	hypothetical protein
WP_023114961.1	1	hypothetical protein
WP_046695203.1	1	hypothetical protein
WP_230515647.1	1	hypothetical protein
WP_283580930.1	1	hypothetical protein
WP_216712417.1	1	hypothetical protein
WP_216712418.1	1	hypothetical protein
WP_000655239.1	1	hypothetical protein
WP_049873715.1	1	hypothetical protein
WP_289390778.1	1	hypothetical protein
WP_289390779.1	1	hypothetical protein
WP_240768221.1	1	hypothetical protein
WP_108517015.1	1	hypothetical protein
WP_108517017.1	1	hypothetical protein
WP_108517019.1	1	hypothetical protein
WP_244608359.1	1	hypothetical protein
WP_108517022.1	1	hypothetical protein
WP_008036613.1	1	hypothetical protein
WP_192230125.1	1	hypothetical protein
WP_192230128.1	1	hypothetical protein
WP_192230130.1	1	hypothetical protein
WP_192230132.1	1	hypothetical protein
WP_192298434.1	1	hypothetical protein
WP_192298437.1	1	hypothetical protein
WP_192298441.1	1	hypothetical protein
WP_143393645.1	1	hypothetical protein
WP_420841907.1	1	hypothetical protein
WP_143393647.1	1	hypothetical protein
WP_143393648.1	1	hypothetical protein
WP_088253031.1	1	hypothetical protein
WP_088257761.1	1	hypothetical protein
WP_088257762.1	1	hypothetical protein
WP_146147849.1	1	hypothetical protein
WP_106666597.1	1	hypothetical protein
WP_106666600.1	1	hypothetical protein
WP_106666601.1	1	hypothetical protein
WP_245448978.1	1	hypothetical protein
WP_193377264.1	1	hypothetical protein
WP_294233168.1	1	hypothetical protein
WP_294200657.1	1	hypothetical protein
WP_294293035.1	1	hypothetical protein
WP_294293037.1	1	hypothetical protein
WP_294220109.1	1	hypothetical protein
WP_379425768.1	1	hypothetical protein
WP_379425770.1	1	hypothetical protein
WP_316188833.1	1	hypothetical protein
WP_315744101.1	1	hypothetical protein
WP_316188834.1	1	hypothetical protein
WP_315765369.1	1	hypothetical protein
WP_315765370.1	1	hypothetical protein
WP_315806370.1	1	hypothetical protein
WP_336372873.1	1	hypothetical protein
WP_336372876.1	1	hypothetical protein
WP_100018282.1	1	hypothetical protein
WP_180791973.1	1	hypothetical protein
WP_360475890.1	1	hypothetical protein
WP_360475893.1	1	hypothetical protein
WP_360475896.1	1	hypothetical protein
WP_360475902.1	1	hypothetical protein
WP_360475905.1	1	hypothetical protein
WP_360475908.1	1	hypothetical protein
WP_230682133.1	1	hypothetical protein
WP_214593190.1	1	hypothetical protein
WP_249560656.1	1	hypothetical protein
WP_249560659.1	1	hypothetical protein
WP_249560660.1	1	hypothetical protein
WP_203994075.1	1	hypothetical protein
WP_203994081.1	1	hypothetical protein
WP_203994090.1	1	hypothetical protein
WP_203994095.1	1	hypothetical protein
WP_203994098.1	1	hypothetical protein
WP_203994104.1	1	hypothetical protein
WP_233401544.1	1	hypothetical protein
WP_233401548.1	1	hypothetical protein
WP_233401552.1	1	hypothetical protein
WP_233401554.1	1	hypothetical protein
WP_233401557.1	1	hypothetical protein
WP_344230596.1	1	hypothetical protein
WP_009113456.1	1	hypothetical protein
WP_257844366.1	1	hypothetical protein
WP_257844367.1	1	hypothetical protein
WP_257844368.1	1	hypothetical protein
WP_377943291.1	1	hypothetical protein
WP_377943292.1	1	hypothetical protein
WP_377943294.1	1	hypothetical protein
WP_377943295.1	1	hypothetical protein
WP_377943296.1	1	hypothetical protein
WP_377943297.1	1	hypothetical protein
WP_377943298.1	1	hypothetical protein
WP_377943299.1	1	hypothetical protein
WP_332768919.1	1	hypothetical protein
WP_332768921.1	1	hypothetical protein
WP_332768927.1	1	hypothetical protein
WP_332768930.1	1	hypothetical protein
WP_332768931.1	1	hypothetical protein
WP_332768933.1	1	hypothetical protein
WP_069517190.1	1	hypothetical protein
WP_284876675.1	1	hypothetical protein
WP_284876677.1	1	hypothetical protein
WP_284876681.1	1	hypothetical protein
WP_284876682.1	1	hypothetical protein
WP_367111835.1	1	hypothetical protein
WP_367111836.1	1	hypothetical protein
WP_367111837.1	1	hypothetical protein
WP_367111840.1	1	hypothetical protein
WP_139295447.1	1	hypothetical protein
WP_072732006.1	1	hypothetical protein
WP_175560824.1	1	hypothetical protein
WP_072732008.1	1	hypothetical protein
WP_227775170.1	1	hypothetical protein
WP_283380213.1	1	hypothetical protein
WP_283380215.1	1	hypothetical protein
WP_283380216.1	1	hypothetical protein
WP_283380217.1	1	hypothetical protein
WP_173714767.1	1	hypothetical protein
WP_179446120.1	1	hypothetical protein
WP_179438221.1	1	hypothetical protein
WP_173712853.1	1	hypothetical protein
WP_341274688.1	1	hypothetical protein
WP_173709896.1	1	hypothetical protein
WP_173784389.1	1	hypothetical protein
WP_274597726.1	1	hypothetical protein
WP_179440392.1	1	hypothetical protein
WP_179440394.1	1	hypothetical protein
WP_173714684.1	1	hypothetical protein
WP_173714685.1	1	hypothetical protein
WP_173696135.1	1	hypothetical protein
WP_173696136.1	1	hypothetical protein
WP_173696137.1	1	hypothetical protein
WP_173712758.1	1	hypothetical protein
WP_173712759.1	1	hypothetical protein
WP_022601124.1	1	hypothetical protein
WP_056011152.1	1	hypothetical protein
WP_056011155.1	1	hypothetical protein
WP_157377079.1	1	hypothetical protein
WP_157377080.1	1	hypothetical protein
WP_162248745.1	1	hypothetical protein
WP_068696774.1	1	hypothetical protein
WP_068696776.1	1	hypothetical protein
WP_068696778.1	1	hypothetical protein
WP_396676245.1	1	hypothetical protein
WP_396676248.1	1	hypothetical protein
WP_221033854.1	1	hypothetical protein
WP_131131527.1	1	hypothetical protein
WP_375233340.1	1	hypothetical protein
WP_212431489.1	1	hypothetical protein
WP_212431490.1	1	hypothetical protein
WP_212431492.1	1	hypothetical protein
WP_390384055.1	1	hypothetical protein
WP_390470336.1	1	hypothetical protein
WP_380706625.1	1	hypothetical protein
WP_110177008.1	1	hypothetical protein
WP_016391658.1	1	hypothetical protein
WP_373271168.1	1	hypothetical protein
WP_389143281.1	1	hypothetical protein
WP_349164097.1	1	hypothetical protein
WP_349164099.1	1	hypothetical protein
WP_349164100.1	1	hypothetical protein
WP_349164104.1	1	hypothetical protein
WP_233963236.1	1	hypothetical protein
WP_291371023.1	1	hypothetical protein
WP_291370028.1	1	hypothetical protein
WP_313738143.1	1	hypothetical protein
WP_314986460.1	1	hypothetical protein
WP_314986464.1	1	hypothetical protein
WP_352790454.1	1	hypothetical protein
WP_352822600.1	1	hypothetical protein
WP_352790449.1	1	hypothetical protein
WP_041214771.1	1	hypothetical protein
WP_368182354.1	1	hypothetical protein
WP_301481848.1	1	hypothetical protein
WP_354408883.1	1	hypothetical protein
WP_354408886.1	1	hypothetical protein
WP_354408888.1	1	hypothetical protein
WP_133601924.1	1	hypothetical protein
WP_171757876.1	1	hypothetical protein
WP_171757877.1	1	hypothetical protein
WP_253825690.1	1	hypothetical protein
WP_171757880.1	1	hypothetical protein
WP_143517796.1	1	hypothetical protein
WP_038698323.1	1	hypothetical protein
WP_038701406.1	1	hypothetical protein
WP_245624998.1	1	hypothetical protein
WP_038698331.1	1	hypothetical protein
WP_038698333.1	1	hypothetical protein
WP_050775061.1	1	hypothetical protein
WP_169575766.1	1	hypothetical protein
WP_240962254.1	1	hypothetical protein
WP_240962255.1	1	hypothetical protein
WP_240962256.1	1	hypothetical protein
WP_339496728.1	1	hypothetical protein
WP_339496729.1	1	hypothetical protein
WP_339496732.1	1	hypothetical protein
WP_339415392.1	1	hypothetical protein
WP_054594326.1	1	hypothetical protein
WP_260758570.1	1	hypothetical protein
WP_305550638.1	1	hypothetical protein
WP_305550640.1	1	hypothetical protein
WP_305550642.1	1	hypothetical protein
WP_305550644.1	1	hypothetical protein
WP_305550646.1	1	hypothetical protein
WP_330443033.1	1	hypothetical protein
WP_330443036.1	1	hypothetical protein
WP_330443037.1	1	hypothetical protein
WP_218394299.1	1	hypothetical protein
WP_218394300.1	1	hypothetical protein
WP_218394301.1	1	hypothetical protein
WP_218394302.1	1	hypothetical protein
WP_218394303.1	1	hypothetical protein
WP_218394304.1	1	hypothetical protein
WP_007898816.1	1	hypothetical protein
WP_192346965.1	1	hypothetical protein
WP_217699440.1	1	hypothetical protein
WP_392442810.1	1	hypothetical protein
WP_148582094.1	1	hypothetical protein
WP_148582100.1	1	hypothetical protein
WP_109296495.1	1	hypothetical protein
WP_109296496.1	1	hypothetical protein
