Protein ID	Frequency	Description
WP_145571870.1	1	His-Xaa-Ser system radical SAM maturase HxsC
WP_219656451.1	1	His-Xaa-Ser system radical SAM maturase HxsB
WP_039188280.1	1	His-Xaa-Ser system protein HxsD
WP_219656452.1	1	hypothetical protein
WP_287406943.1	1	AsmA family protein
WP_287406944.1	1	hypothetical protein
WP_287406946.1	1	DUF1963 domain-containing protein
WP_287406949.1	1	hypothetical protein
WP_287406950.1	1	hypothetical protein
WP_287406951.1	1	hypothetical protein
WP_287406952.1	1	HAD hydrolase family protein
WP_287406955.1	1	NADAR family protein
WP_327478827.1	1	HAD hydrolase family protein
WP_327479002.1	1	hypothetical protein
WP_327478829.1	1	hypothetical protein
WP_327478832.1	1	DUF1963 domain-containing protein
WP_327478835.1	1	hypothetical protein
WP_414713056.1	1	AsmA family protein
WP_004129421.1	1	phosphoporin PhoE
WP_154902327.1	1	glutamate-5-semialdehyde dehydrogenase
WP_154902328.1	1	reverse transcriptase family protein
WP_154902331.1	1	ATP-dependent endonuclease
WP_080458303.1	1	relaxase/mobilization nuclease domain-containing protein
WP_080458304.1	1	helix-turn-helix domain-containing protein
WP_254892465.1	1	hypothetical protein
WP_080458305.1	1	DUF736 family protein
WP_080458306.1	1	plasmid pRiA4b ORF-3 family protein
WP_217805690.1	1	hypothetical protein
WP_080458308.1	1	reverse transcriptase family protein
WP_080458309.1	1	AbiJ-NTD4 domain-containing protein
WP_254892466.1	1	type II toxin-antitoxin system HipA family toxin
WP_080458311.1	1	helix-turn-helix domain-containing protein
WP_080458312.1	1	hypothetical protein
WP_380090745.1	1	hypothetical protein
WP_380091484.1	1	N-6 DNA methylase
WP_380090746.1	1	hypothetical protein
WP_380090747.1	1	hypothetical protein
WP_000719504.1	1	hypothetical protein
WP_004839747.1	1	NAD(P)H-dependent oxidoreductase
WP_000955561.1	1	putative quinol monooxygenase
WP_001189305.1	1	hypothetical protein
WP_111849817.1	1	hypothetical protein
WP_111849818.1	1	FAD-binding oxidoreductase
WP_111849820.1	1	DMT family transporter
WP_111849822.1	1	DMT family transporter
WP_031988334.1	1	hemerythrin domain-containing protein
WP_335898873.1	1	hypothetical protein
WP_203392874.1	1	hypothetical protein
WP_203392875.1	1	O-methyltransferase
WP_203392876.1	1	twin-arginine translocase TatA/TatE family subunit
WP_203392877.1	1	D-alanyl-D-alanine carboxypeptidase
WP_203392878.1	1	caspase family protein
WP_203392879.1	1	hypothetical protein
WP_203392880.1	1	reverse transcriptase family protein
WP_203392881.1	1	zinc-dependent peptidase
WP_203392882.1	1	zinc-dependent peptidase
WP_203392883.1	1	RNA methyltransferase
WP_203392884.1	1	DNA mismatch repair protein MutS
WP_214655747.1	1	hypothetical protein
WP_094367497.1	1	response regulator transcription factor
WP_094367496.1	1	abortive infection system toxin AbiGii family protein
WP_094367495.1	1	abortive infection system antitoxin AbiGi family protein
WP_094367494.1	1	reverse transcriptase family protein
WP_094367493.1	1	hypothetical protein
WP_094367492.1	1	hypothetical protein
WP_116041678.1	1	Mor transcription activator family protein
WP_008639013.1	1	hypothetical protein
WP_008638995.1	1	hypothetical protein
WP_008638974.1	1	winged helix-turn-helix domain-containing protein
WP_008639031.1	1	reverse transcriptase family protein
WP_008639021.1	1	IS110 family transposase
WP_008638994.1	1	S41 family peptidase
WP_040288701.1	1	AraC family transcriptional regulator
WP_324750988.1	1	DNA (cytosine-5-)-methyltransferase
WP_324751336.1	1	very short patch repair endonuclease
WP_324750989.1	1	MvaI/BcnI family restriction endonuclease
WP_324750990.1	1	hypothetical protein
WP_324750991.1	1	hypothetical protein
WP_324750992.1	1	ATP-binding protein
WP_324750993.1	1	sigma-70 family RNA polymerase sigma factor
WP_324750994.1	1	hypothetical protein
WP_324750995.1	1	DEAD/DEAH box helicase
WP_324750996.1	1	type II toxin-antitoxin system RelE/ParE family toxin
WP_324750997.1	1	helix-turn-helix domain-containing protein
WP_272558120.1	1	ATP-dependent nuclease
WP_272558121.1	1	ATP-dependent helicase
WP_418910494.1	1	methyltransferase
WP_272558122.1	1	hypothetical protein
WP_272558123.1	1	hypothetical protein
WP_272558124.1	1	hypothetical protein
WP_272558125.1	1	hypothetical protein
WP_054514439.1	1	RraA family protein
WP_272558126.1	1	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
WP_063568650.1	1	ABC transporter substrate-binding protein
WP_006386293.1	1	amino acid ABC transporter permease
WP_264137817.1	1	carboxypeptidase-like regulatory domain-containing protein
WP_264137818.1	1	hypothetical protein
WP_264137819.1	1	hypothetical protein
WP_264137820.1	1	reverse transcriptase family protein
WP_264137821.1	1	hypothetical protein
WP_264137822.1	1	phosphoribosyltransferase
WP_264137823.1	1	hypothetical protein
WP_264137824.1	1	DUF4238 domain-containing protein
WP_264137825.1	1	site-specific tyrosine recombinase/integron integrase
WP_264137826.1	1	hypothetical protein
WP_264137827.1	1	amidohydrolase
WP_207260538.1	1	NYN domain-containing protein
WP_207267906.1	1	DUF4102 domain-containing protein
WP_207260540.1	1	class I SAM-dependent methyltransferase
WP_207260548.1	1	hypothetical protein
WP_207260550.1	1	hypothetical protein
WP_207260553.1	1	hypothetical protein
WP_207260555.1	1	integrase domain-containing protein
WP_207260557.1	1	integrase arm-type DNA-binding domain-containing protein
WP_207267747.1	1	serine acetyltransferase
WP_207260559.1	1	methyltransferase
WP_095192339.1	1	ABC transporter permease
WP_397451050.1	1	sigma-70 family RNA polymerase sigma factor
WP_397451051.1	1	metallophosphoesterase family protein
WP_397451052.1	1	cupredoxin family copper-binding protein
WP_397451053.1	1	ArnT family glycosyltransferase
WP_397451054.1	1	DUF3841 domain-containing protein
WP_397451055.1	1	hypothetical protein
WP_397451056.1	1	reverse transcriptase family protein
WP_397451057.1	1	hypothetical protein
WP_397451058.1	1	site-specific integrase
WP_397451059.1	1	bifunctional diguanylate cyclase/phosphodiesterase
WP_397451060.1	1	RNA polymerase sigma factor RpoD
WP_183817790.1	1	GTPase ObgE
WP_221400968.1	1	sodium/proline symporter
WP_183817792.1	1	chromate efflux transporter
WP_183817794.1	1	tyrosine-type recombinase/integrase
WP_183817796.1	1	hypothetical protein
WP_183817798.1	1	phosphoribosyltransferase-like protein
WP_183817800.1	1	hypothetical protein
WP_183817802.1	1	hypothetical protein
WP_183817804.1	1	antirestriction protein ArdA
WP_183817806.1	1	hypothetical protein
WP_183817808.1	1	hypothetical protein
WP_017829552.1	1	HhH-GPD-type base excision DNA repair protein
WP_017829553.1	1	DUF1801 domain-containing protein
WP_017829554.1	1	hypothetical protein
WP_255162977.1	1	epoxide hydrolase family protein
WP_255162978.1	1	YafY family protein
WP_255162979.1	1	hypothetical protein
WP_255162980.1	1	reverse transcriptase family protein
WP_017829557.1	1	glycine--tRNA ligase
WP_031205732.1	1	peptide MFS transporter
WP_017829559.1	1	GNAT family N-acetyltransferase
WP_255162984.1	1	hypothetical protein
WP_355796409.1	1	endo alpha-1%2C4 polygalactosaminidase
WP_355796411.1	1	hypothetical protein
WP_355796519.1	1	reverse transcriptase family protein
WP_355796415.1	1	hypothetical protein
WP_355796417.1	1	discoidin domain-containing protein
WP_014804591.1	1	hypothetical protein
WP_014804592.1	1	hypothetical protein
WP_014804593.1	1	hypothetical protein
WP_157210568.1	1	hypothetical protein
WP_014804596.1	1	phosphoribosyltransferase-like protein
WP_014801227.1	1	IS481 family transposase
WP_157210569.1	1	hypothetical protein
WP_014804597.1	1	reverse transcriptase domain-containing protein
WP_014804598.1	1	hypothetical protein
WP_014804599.1	1	MerR family transcriptional regulator
WP_368562675.1	1	hypothetical protein
WP_403231019.1	1	DUF6879 family protein
WP_403231020.1	1	hypothetical protein
WP_403231021.1	1	serine/threonine-protein kinase
WP_398635914.1	1	reverse transcriptase family protein
WP_403231022.1	1	hypothetical protein
WP_403231023.1	1	esterase
WP_403231024.1	1	hypothetical protein
WP_398635910.1	1	DUF317 domain-containing protein
WP_403231025.1	1	hypothetical protein
WP_403231026.1	1	hypothetical protein
WP_280046536.1	1	reverse transcriptase family protein
WP_280046537.1	1	hypothetical protein
WP_280046538.1	1	phosphoribosyltransferase
WP_280046540.1	1	NACHT domain-containing NTPase
WP_280046541.1	1	DUF2075 domain-containing protein
WP_280046542.1	1	nucleotide pyrophosphohydrolase
WP_280046543.1	1	hypothetical protein
WP_063498189.1	1	DUF4238 domain-containing protein
WP_082855194.1	1	ATP-dependent helicase
WP_148662252.1	1	hypothetical protein
WP_063498192.1	1	AAA family ATPase
WP_063498193.1	1	hypothetical protein
WP_063498194.1	1	reverse transcriptase family protein
WP_148662253.1	1	hypothetical protein
WP_148662254.1	1	hypothetical protein
WP_148662255.1	1	hypothetical protein
WP_063498198.1	1	hypothetical protein
WP_137657327.1	1	retron St85 family RNA-directed DNA polymerase
WP_077917957.1	1	retron St85 family RNA-directed DNA polymerase
WP_065845618.1	1	phosphoribosyltransferase-like protein
WP_152971112.1	1	hypothetical protein
WP_049732988.1	1	hypothetical protein
WP_160320323.1	1	hypothetical protein
WP_082336827.1	1	anti-phage deoxyguanosine triphosphatase
WP_049732989.1	1	dUTP diphosphatase
WP_049732990.1	1	phosphoribosyltransferase-like protein
WP_049732991.1	1	hypothetical protein
WP_049732992.1	1	hypothetical protein
WP_160320324.1	1	methyltransferase
WP_049732994.1	1	alpha-glucosidase/alpha-galactosidase
WP_145986246.1	1	hypothetical protein
WP_232015768.1	1	GNAT family N-acetyltransferase
WP_120251480.1	1	hypothetical protein
WP_172598800.1	1	reverse transcriptase family protein
WP_120251483.1	1	hypothetical protein
WP_120251484.1	1	hypothetical protein
WP_120251485.1	1	hypothetical protein
WP_232015769.1	1	P-type conjugative transfer protein TrbJ
WP_120251486.1	1	P-type conjugative transfer protein TrbL
WP_120251487.1	1	conjugal transfer protein TrbF
WP_204100229.1	1	hypothetical protein
WP_204100231.1	1	hypothetical protein
WP_162545313.1	1	hypothetical protein
WP_227536660.1	1	phospholipase D-like domain-containing protein
WP_380428084.1	1	ABC transporter ATP-binding protein
WP_380428086.1	1	ABC transporter ATP-binding protein
WP_380428088.1	1	GNAT family N-acetyltransferase
WP_380428090.1	1	ABC-F family ATP-binding cassette domain-containing protein
WP_380428092.1	1	retron St85 family RNA-directed DNA polymerase
WP_380428094.1	1	hypothetical protein
WP_380428096.1	1	CCA tRNA nucleotidyltransferase
WP_380428098.1	1	hypothetical protein
WP_380428099.1	1	4-hydroxy-tetrahydrodipicolinate reductase
WP_380428101.1	1	DegV family protein
WP_380428103.1	1	DUF1149 family protein
WP_147690193.1	1	hypothetical protein
WP_208872389.1	1	hypothetical protein
WP_013856837.1	1	DUF1837 domain-containing protein
WP_020977756.1	1	DUF3223 domain-containing protein
WP_013856839.1	1	carboxypeptidase M32
WP_049885783.1	1	DNA cytosine methyltransferase
WP_411194795.1	1	reverse transcriptase family protein
WP_411194796.1	1	relaxase/mobilization nuclease domain-containing protein
WP_000651083.1	1	hypothetical protein
WP_077911057.1	1	DNA cytosine methyltransferase
WP_108454226.1	1	reverse transcriptase family protein
WP_108454228.1	1	relaxase/mobilization nuclease domain-containing protein
WP_108454229.1	1	hypothetical protein
WP_033678242.1	1	XRE family transcriptional regulator
WP_023945298.1	1	peptide MFS transporter
WP_261084430.1	1	TIM-barrel domain-containing protein
WP_238095646.1	1	hypothetical protein
WP_060805650.1	1	retron St85 family RNA-directed DNA polymerase
WP_060805266.1	1	XRE family transcriptional regulator
WP_101776558.1	1	glycoside hydrolase family 31 protein
WP_180948729.1	1	SEC10/PgrA surface exclusion domain-containing protein
WP_095245159.1	1	PD-(D/E)XK motif protein
WP_095245160.1	1	Z1 domain-containing protein
WP_095245161.1	1	ATP-binding protein
WP_095245162.1	1	retron St85 family RNA-directed DNA polymerase
WP_095245163.1	1	hypothetical protein
WP_095245164.1	1	hypothetical protein
WP_095245165.1	1	(Fe-S)-binding protein
WP_095245166.1	1	FAD-linked oxidase C-terminal domain-containing protein
WP_095245167.1	1	NAD-dependent succinate-semialdehyde dehydrogenase
WP_095245168.1	1	aspartate aminotransferase family protein
WP_095245169.1	1	gamma carbonic anhydrase family protein
WP_077226454.1	1	lipocalin family protein
WP_163603892.1	1	class I SAM-dependent methyltransferase
WP_163603893.1	1	GNAT family N-acetyltransferase
WP_163603894.1	1	SymE family type I addiction module toxin
WP_163603895.1	1	toxin-antitoxin system HicB family antitoxin
WP_163603896.1	1	phosphoribosyltransferase-like protein
WP_163603897.1	1	hypothetical protein
WP_163603898.1	1	reverse transcriptase family protein
WP_077226459.1	1	glycoside-pentoside-hexuronide family transporter
WP_163603899.1	1	alpha-xylosidase
WP_163603900.1	1	AsmA family protein
WP_343625849.1	1	photosynthetic complex putative assembly protein PuhB
WP_343625850.1	1	photosynthetic reaction center subunit H
WP_216353243.1	1	hypothetical protein
WP_310288564.1	1	hypothetical protein
WP_352628484.1	1	hypothetical protein
WP_352628485.1	1	S8 family serine peptidase
WP_352628487.1	1	phospholipase D-like domain-containing protein
WP_352628488.1	1	hypothetical protein
WP_352628489.1	1	hypothetical protein
WP_352628491.1	1	hypothetical protein
WP_352628493.1	1	hypothetical protein
WP_352628495.1	1	hypothetical protein
WP_352628497.1	1	hypothetical protein
WP_352628499.1	1	PfkB family carbohydrate kinase
WP_352628501.1	1	NADAR family protein
WP_187728759.1	1	helix-turn-helix domain-containing protein
WP_187728760.1	1	hypothetical protein
WP_187728761.1	1	HNH endonuclease
WP_187728762.1	1	DGQHR domain-containing protein
WP_187728763.1	1	DNA adenine methylase
WP_187728764.1	1	hypothetical protein
WP_187728765.1	1	ParB/RepB/Spo0J family partition protein
WP_187728766.1	1	TrbC/VirB2 family protein
WP_187728767.1	1	P-type DNA transfer ATPase VirB11
WP_262408621.1	1	TrbI/VirB10 family protein
WP_187728768.1	1	TrbG/VirB9 family P-type conjugative transfer protein
WP_007667445.1	1	SDR family oxidoreductase
WP_157223726.1	1	hypothetical protein
WP_007667447.1	1	NUDIX domain-containing protein
WP_007667449.1	1	aldehyde dehydrogenase family protein
WP_007667451.1	1	AMP-binding protein
WP_007667453.1	1	phosphoribosyltransferase
WP_007667454.1	1	M20/M25/M40 family metallo-hydrolase
WP_007667456.1	1	TonB-dependent receptor
WP_007667458.1	1	protein adenylyltransferase SelO
WP_007667460.1	1	hypothetical protein
WP_164476781.1	1	hypothetical protein
WP_000734321.1	1	hypothetical protein
WP_164476782.1	1	WYL domain-containing protein
WP_164476783.1	1	hypothetical protein
WP_164476784.1	1	hypothetical protein
WP_164476785.1	1	inovirus-type Gp2 protein
WP_023227810.1	1	AlpA family phage regulatory protein
WP_164476786.1	1	YbaK/EbsC family protein
WP_164476787.1	1	DUF1062 domain-containing protein
WP_305049431.1	1	DDE-type integrase/transposase/recombinase
WP_305049432.1	1	ATP-binding protein
WP_305049437.1	1	reverse transcriptase family protein
WP_305049439.1	1	head GIN domain-containing protein
WP_305049440.1	1	YkgJ family cysteine cluster protein
WP_277249359.1	1	endo-1%2C4-beta-xylanase
WP_277249361.1	1	reverse transcriptase family protein
WP_277249362.1	1	ATP-binding protein
WP_085033640.1	1	hypothetical protein
WP_085033641.1	1	hypothetical protein
WP_085033642.1	1	hypothetical protein
WP_085033643.1	1	phosphoribosyltransferase-like protein
WP_085033644.1	1	DNA methyltransferase
WP_085033645.1	1	FAD-dependent thymidylate synthase
WP_283293637.1	1	hypothetical protein
WP_283318025.1	1	exodeoxyribonuclease VIII
WP_159285148.1	1	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_159285150.1	1	3'-5' exonuclease
WP_159285152.1	1	DUF4427 domain-containing protein
WP_159285154.1	1	hypothetical protein
WP_159285156.1	1	reverse transcriptase family protein
WP_159285158.1	1	phosphoribosyltransferase-like protein
WP_047701712.1	1	DEAD/DEAH box helicase
WP_047701711.1	1	hypothetical protein
WP_159285161.1	1	ShlB/FhaC/HecB family hemolysin secretion/activation protein
WP_081993268.1	1	filamentous hemagglutinin N-terminal domain-containing protein
WP_202728272.1	1	hypothetical protein
WP_202728273.1	1	host cell division inhibitor Icd-like protein
WP_024530887.1	1	hypothetical protein
WP_202728274.1	1	DUF5375 family protein
WP_202728290.1	1	primase-helicase zinc-binding domain-containing protein
WP_202728275.1	1	hypothetical protein
WP_202728276.1	1	hypothetical protein
WP_202728277.1	1	reverse transcriptase family protein
WP_202728278.1	1	hypothetical protein
WP_202728279.1	1	hypothetical protein
WP_161974309.1	1	hypothetical protein
WP_128287303.1	1	hypothetical protein
WP_128287304.1	1	hypothetical protein
WP_128287305.1	1	DUF2513 domain-containing protein
WP_128287306.1	1	NACHT domain-containing protein
WP_128287307.1	1	phosphoribosyltransferase-like protein
WP_128287308.1	1	hypothetical protein
WP_128287309.1	1	hypothetical protein
WP_128287310.1	1	HAD hydrolase family protein
WP_161974311.1	1	PfkB family carbohydrate kinase
WP_233282959.1	1	NADAR family protein
WP_060979914.1	1	hypothetical protein
WP_202185043.1	1	ATP-binding protein
WP_395133398.1	1	tripartite tricarboxylate transporter permease
WP_395133400.1	1	tripartite tricarboxylate transporter TctB family protein
WP_395133402.1	1	Bug family tripartite tricarboxylate transporter substrate binding protein
WP_395133404.1	1	ImmA/IrrE family metallo-endopeptidase
WP_395133406.1	1	beta family protein
WP_395133408.1	1	hypothetical protein
WP_395133410.1	1	hypothetical protein
WP_395133412.1	1	reverse transcriptase family protein
WP_395133413.1	1	hypothetical protein
WP_395133415.1	1	metallophosphoesterase
WP_395133417.1	1	AAA family ATPase
WP_054109469.1	1	HAD hydrolase family protein
WP_054109472.1	1	hypothetical protein
WP_054109477.1	1	site-specific integrase
WP_006955926.1	1	SIR2 family NAD-dependent protein deacylase
WP_006955927.1	1	hypothetical protein
WP_278043237.1	1	hypothetical protein
WP_006955929.1	1	tyrosine-type recombinase/integrase
WP_006955930.1	1	GNAT family N-acetyltransferase
WP_006955931.1	1	phosphoribosyltransferase-like protein
WP_006955932.1	1	reverse transcriptase family protein
WP_006955933.1	1	tyrosine-type recombinase/integrase
WP_006955934.1	1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
WP_006955935.1	1	excinuclease ABC subunit UvrC
WP_006955936.1	1	LuxR C-terminal-related transcriptional regulator
WP_034310472.1	1	helix-turn-helix transcriptional regulator
WP_098864755.1	1	VOC family protein
WP_145506615.1	1	MmcQ/YjbR family DNA-binding protein
WP_336058752.1	1	PLP-dependent aminotransferase family protein
WP_400450290.1	1	hypothetical protein
WP_400450292.1	1	hypothetical protein
WP_400450293.1	1	retron St85 family RNA-directed DNA polymerase
WP_400450294.1	1	tyrosine-type recombinase/integrase
WP_400450331.1	1	tyrosine recombinase XerC
WP_408308676.1	1	AraC family transcriptional regulator
WP_408308675.1	1	GNAT family N-acetyltransferase
WP_408394783.1	1	PfkB family carbohydrate kinase
WP_408394784.1	1	hypothetical protein
WP_408394785.1	1	hypothetical protein
WP_408394786.1	1	hypothetical protein
WP_408394787.1	1	hypothetical protein
WP_408394788.1	1	helix-turn-helix domain-containing protein
WP_408394789.1	1	hypothetical protein
WP_408394790.1	1	hypothetical protein
WP_408394791.1	1	hypothetical protein
WP_003557232.1	1	NADAR family protein
WP_164902879.1	1	PfkB family carbohydrate kinase
WP_003557228.1	1	hypothetical protein
WP_003557226.1	1	hypothetical protein
WP_245457299.1	1	hypothetical protein
WP_003557223.1	1	hypothetical protein
WP_003557220.1	1	MBL fold metallo-hydrolase
WP_003557218.1	1	DCC1-like thiol-disulfide oxidoreductase family protein
WP_003557216.1	1	DUF4166 domain-containing protein
WP_128460049.1	1	DUF1499 domain-containing protein
WP_003557212.1	1	hypothetical protein
WP_167222014.1	1	hypothetical protein
WP_167222016.1	1	hypothetical protein
WP_167222018.1	1	ATP-dependent helicase
WP_167222020.1	1	ATP-dependent endonuclease
WP_167222022.1	1	reverse transcriptase family protein
WP_167222024.1	1	hypothetical protein
WP_167222026.1	1	DUF6471 domain-containing protein
WP_167222028.1	1	hypothetical protein
WP_167222030.1	1	hypothetical protein
WP_167222032.1	1	hypothetical protein
WP_167222034.1	1	tyrosine-type recombinase/integrase
WP_339085412.1	1	M15 family metallopeptidase
WP_339085413.1	1	recombinase family protein
WP_339085414.1	1	DUF2924 domain-containing protein
WP_339085415.1	1	DUF3489 domain-containing protein
WP_339085416.1	1	reverse transcriptase family protein
WP_339085417.1	1	hypothetical protein
WP_339085418.1	1	hypothetical protein
WP_339085419.1	1	UvrD-helicase domain-containing protein
WP_339085420.1	1	ATP-dependent endonuclease
WP_339085421.1	1	DEAD/DEAH box helicase
WP_339085422.1	1	hypothetical protein
WP_223026357.1	1	GNAT family N-acetyltransferase
WP_223026358.1	1	tyrosine-protein phosphatase
WP_223026359.1	1	AraC family transcriptional regulator
WP_223026360.1	1	2OG-Fe(II) oxygenase
WP_223026361.1	1	NADAR family protein
WP_223026362.1	1	hypothetical protein
WP_016987914.1	1	DUF6124 family protein
WP_223026363.1	1	hypothetical protein
WP_223026364.1	1	hypothetical protein
WP_223026365.1	1	TetR/AcrR family transcriptional regulator
WP_223026366.1	1	MFS transporter
WP_002659143.1	1	leucine-rich repeat domain-containing protein
WP_002659144.1	1	hypothetical protein
WP_002659146.1	1	excinuclease ABC subunit UvrB
WP_002659148.1	1	DUF4291 domain-containing protein
WP_002659150.1	1	TIGR02757 family protein
WP_002659152.1	1	hypothetical protein
WP_002659153.1	1	hypothetical protein
WP_002659155.1	1	reverse transcriptase domain-containing protein
WP_253271304.1	1	transposase
WP_253271305.1	1	transposase
WP_002659157.1	1	DNA primase
WP_386962210.1	1	ATP-grasp domain-containing protein
WP_376761640.1	1	KamA family radical SAM protein
WP_386962213.1	1	HXXEE domain-containing protein
WP_386962216.1	1	HYR domain-containing protein
WP_386962218.1	1	hypothetical protein
WP_386962221.1	1	hypothetical protein
WP_386962224.1	1	AAA family ATPase
WP_386962227.1	1	amidohydrolase family protein
WP_386962230.1	1	hypothetical protein
WP_376761644.1	1	alpha/beta fold hydrolase
WP_386962234.1	1	two-component regulator propeller domain-containing protein
WP_208217645.1	1	hypothetical protein
WP_208217646.1	1	UvrD-helicase domain-containing protein
WP_208217647.1	1	serine/threonine protein kinase
WP_208217648.1	1	reverse transcriptase family protein
WP_208217649.1	1	phosphoribosyltransferase-like protein
WP_208217650.1	1	hypothetical protein
WP_208217651.1	1	TetR family transcriptional regulator
WP_208217652.1	1	integrase
WP_308337298.1	1	hypothetical protein
WP_374694391.1	1	phage integrase N-terminal SAM-like domain-containing protein
WP_308337299.1	1	hypothetical protein
WP_308337300.1	1	hypothetical protein
WP_308337301.1	1	hypothetical protein
WP_308337302.1	1	hypothetical protein
WP_308337303.1	1	reverse transcriptase family protein
WP_308337304.1	1	DUF4238 domain-containing protein
WP_308337305.1	1	hypothetical protein
WP_308337306.1	1	transposase
WP_308337307.1	1	hypothetical protein
WP_187489058.1	1	hypothetical protein
WP_226942394.1	1	hypothetical protein
WP_244151410.1	1	site-specific integrase
WP_208932873.1	1	hypothetical protein
WP_208932874.1	1	H-NS histone family protein
WP_208932875.1	1	hypothetical protein
WP_208932876.1	1	hypothetical protein
WP_208932877.1	1	hypothetical protein
WP_208932878.1	1	N-6 DNA methylase
WP_208932879.1	1	DUF2971 domain-containing protein
WP_208932880.1	1	type II toxin-antitoxin system HipA family toxin
WP_208932881.1	1	helix-turn-helix transcriptional regulator
WP_208932882.1	1	hypothetical protein
WP_296419315.1	1	hypothetical protein
WP_296419317.1	1	DMT family transporter
WP_296419319.1	1	GNAT family N-acetyltransferase
WP_296419321.1	1	cysteine dioxygenase family protein
WP_296419326.1	1	hypothetical protein
WP_296416114.1	1	Rieske 2Fe-2S domain-containing protein
WP_296416115.1	1	hypothetical protein
WP_296416116.1	1	DMT family transporter
WP_296416117.1	1	GNAT family N-acetyltransferase
WP_296416119.1	1	hypothetical protein
WP_322946132.1	1	NADAR family protein
WP_322946133.1	1	PfkB family carbohydrate kinase
WP_322946134.1	1	hypothetical protein
WP_322946135.1	1	hypothetical protein
WP_322946136.1	1	hypothetical protein
WP_322946137.1	1	phosphoribosyltransferase-like protein
WP_322946138.1	1	hypothetical protein
WP_322946139.1	1	recombinase family protein
WP_322946140.1	1	hypothetical protein
WP_322946141.1	1	hypothetical protein
WP_322946142.1	1	hypothetical protein
WP_348973676.1	1	hypothetical protein
WP_348973677.1	1	HipA domain-containing protein
WP_348973678.1	1	helix-turn-helix transcriptional regulator
WP_348973679.1	1	HEPN-associated N-terminal domain-containing protein
WP_348973680.1	1	reverse transcriptase family protein
WP_348973681.1	1	hypothetical protein
WP_348973682.1	1	RNA 3'-terminal phosphate cyclase
WP_348973683.1	1	nucleotidyltransferase domain-containing protein
WP_348973684.1	1	RtcB family protein
WP_348973685.1	1	RNA-binding protein
WP_348973686.1	1	RNA repair transcriptional activator RtcR
WP_407516817.1	1	hypothetical protein
WP_407516818.1	1	hypothetical protein
WP_407516819.1	1	N-6 DNA methylase
WP_407516820.1	1	hypothetical protein
WP_407516821.1	1	hypothetical protein
WP_407516822.1	1	hypothetical protein
WP_407516823.1	1	DNA adenine methylase
WP_407516824.1	1	phage late control D family protein
WP_407516825.1	1	tail protein X
WP_407516826.1	1	phage tail protein
WP_407516827.1	1	phage tail tape measure protein
WP_316805364.1	1	aldehyde dehydrogenase family protein
WP_316805365.1	1	aldehyde dehydrogenase family protein
WP_316805366.1	1	antibiotic biosynthesis monooxygenase family protein
WP_316805367.1	1	helix-turn-helix transcriptional regulator
WP_316805368.1	1	NAD(P)H-binding protein
WP_316805369.1	1	hypothetical protein
WP_316805370.1	1	reverse transcriptase family protein
WP_316805371.1	1	hypothetical protein
WP_316805372.1	1	P63C domain-containing protein
WP_316805373.1	1	hypothetical protein
WP_316805374.1	1	hypothetical protein
WP_220384391.1	1	hypothetical protein
WP_024568662.1	1	hypothetical protein
WP_024568663.1	1	tetratricopeptide repeat protein
WP_024568664.1	1	helix-turn-helix transcriptional regulator
WP_260124534.1	1	retron St85 family RNA-directed DNA polymerase
WP_260124535.1	1	hypothetical protein
WP_260124536.1	1	hypothetical protein
WP_260124537.1	1	chaperonin GroEL
WP_009084898.1	1	M1 family metallopeptidase
WP_407476499.1	1	HupE/UreJ family protein
WP_024564627.1	1	DUF6702 family protein
WP_147192606.1	1	tyrosinase family protein
WP_147192607.1	1	plasmid mobilization relaxosome protein MobC
WP_147192608.1	1	relaxase/mobilization nuclease domain-containing protein
WP_147192609.1	1	conjugal transfer protein MobC
WP_147192610.1	1	thymidylate synthase
WP_158638426.1	1	hypothetical protein
WP_147192612.1	1	hypothetical protein
WP_147192613.1	1	hypothetical protein
WP_147192614.1	1	N-6 DNA methylase
WP_147192615.1	1	YhcG family protein
WP_147192616.1	1	site-specific integrase
WP_213158301.1	1	isochorismatase family protein
WP_213158302.1	1	histidine triad nucleotide-binding protein
WP_213158303.1	1	MYG1 family protein
WP_213158304.1	1	hypothetical protein
WP_249274267.1	1	DUF1207 domain-containing protein
WP_213158306.1	1	hypothetical protein
WP_213158307.1	1	sodium:solute symporter family protein
WP_213158308.1	1	inverse autotransporter beta domain-containing protein
WP_213158309.1	1	Npt1/Npt2 family nucleotide transporter
WP_249274268.1	1	DMT family transporter
WP_213158310.1	1	hypothetical protein
WP_083893419.1	1	restriction endonuclease subunit S
WP_044527713.1	1	type I restriction endonuclease subunit R
WP_083893420.1	1	GTP pyrophosphokinase family protein
WP_159106092.1	1	hypothetical protein
WP_044527710.1	1	HEPN domain-containing protein
WP_148289007.1	1	hypothetical protein
WP_081050238.1	1	N-6 DNA methylase
WP_233528050.1	1	hypothetical protein
WP_284414942.1	1	hypothetical protein
WP_284414944.1	1	7-cyano-7-deazaguanine synthase
WP_284414946.1	1	PfkB family carbohydrate kinase
WP_284414948.1	1	hypothetical protein
WP_284414950.1	1	hypothetical protein
