Most Frequent Protein ID	Frequency	Description
WP_287589523.1	1	hypothetical protein
WP_287589527.1	1	hypothetical protein
WP_367382097.1	1	hypothetical protein
WP_367382098.1	1	hypothetical protein
WP_367382100.1	1	hypothetical protein
WP_050825245.1	1	hypothetical protein
WP_230804040.1	1	hypothetical protein
WP_350714553.1	1	hypothetical protein
WP_350714555.1	1	hypothetical protein
WP_350714561.1	1	hypothetical protein
WP_350714570.1	1	hypothetical protein
WP_311318431.1	1	hypothetical protein
WP_260163328.1	1	hypothetical protein
WP_260163329.1	1	hypothetical protein
WP_368378681.1	1	hypothetical protein
WP_240060580.1	1	hypothetical protein
WP_259022775.1	1	hypothetical protein
WP_229117833.1	1	hypothetical protein
WP_310480711.1	1	hypothetical protein
WP_258984659.1	1	hypothetical protein
WP_107215345.1	1	hypothetical protein
WP_107215347.1	1	hypothetical protein
WP_107215352.1	1	hypothetical protein
WP_165885223.1	1	hypothetical protein
WP_105138228.1	1	hypothetical protein
WP_224250613.1	1	hypothetical protein
WP_337215763.1	1	hypothetical protein
WP_337215765.1	1	hypothetical protein
WP_337215766.1	1	hypothetical protein
WP_386917970.1	1	hypothetical protein
WP_303046678.1	1	hypothetical protein
WP_076492458.1	1	hypothetical protein
WP_076492470.1	1	hypothetical protein
WP_201491094.1	1	hypothetical protein
WP_312216026.1	1	hypothetical protein
WP_312216028.1	1	hypothetical protein
WP_054591197.1	1	hypothetical protein
WP_152971559.1	1	hypothetical protein
WP_160318667.1	1	hypothetical protein
WP_152971561.1	1	hypothetical protein
WP_238526511.1	1	hypothetical protein
WP_204759149.1	1	hypothetical protein
WP_204759150.1	1	hypothetical protein
WP_005522363.1	1	hypothetical protein
WP_194096266.1	1	hypothetical protein
WP_194096270.1	1	hypothetical protein
WP_194096272.1	1	hypothetical protein
WP_194096276.1	1	hypothetical protein
WP_228063928.1	1	hypothetical protein
WP_148536651.1	1	hypothetical protein
WP_100833310.1	1	hypothetical protein
WP_070373631.1	1	hypothetical protein
WP_197517632.1	1	hypothetical protein
WP_197517633.1	1	hypothetical protein
WP_070373632.1	1	hypothetical protein
WP_070373634.1	1	hypothetical protein
WP_070373636.1	1	hypothetical protein
WP_157470707.1	1	hypothetical protein
WP_070373639.1	1	hypothetical protein
WP_217996553.1	1	hypothetical protein
WP_157087161.1	1	hypothetical protein
WP_157087162.1	1	hypothetical protein
WP_068429380.1	1	hypothetical protein
WP_195817555.1	1	hypothetical protein
WP_195817089.1	1	hypothetical protein
WP_195817090.1	1	hypothetical protein
WP_216353186.1	1	hypothetical protein
WP_086288482.1	1	hypothetical protein
WP_139117276.1	1	hypothetical protein
WP_139117277.1	1	hypothetical protein
WP_277175910.1	1	hypothetical protein
WP_277175912.1	1	hypothetical protein
WP_277175913.1	1	hypothetical protein
WP_277175914.1	1	hypothetical protein
WP_089477450.1	1	hypothetical protein
WP_305194836.1	1	hypothetical protein
WP_019291555.1	1	hypothetical protein
WP_311910532.1	1	hypothetical protein
WP_342775552.1	1	hypothetical protein
WP_421105311.1	1	hypothetical protein
WP_421105312.1	1	hypothetical protein
WP_192351906.1	1	hypothetical protein
WP_192351907.1	1	hypothetical protein
WP_192351908.1	1	hypothetical protein
WP_192351909.1	1	hypothetical protein
WP_225609352.1	1	hypothetical protein
WP_192351912.1	1	hypothetical protein
WP_192351913.1	1	hypothetical protein
WP_290942343.1	1	hypothetical protein
WP_317912502.1	1	hypothetical protein
WP_317912505.1	1	hypothetical protein
WP_317912507.1	1	hypothetical protein
WP_224731780.1	1	hypothetical protein
WP_224731781.1	1	hypothetical protein
WP_279155036.1	1	hypothetical protein
WP_279155040.1	1	hypothetical protein
WP_279155041.1	1	hypothetical protein
WP_279155044.1	1	hypothetical protein
WP_279155045.1	1	hypothetical protein
WP_320638891.1	1	hypothetical protein
WP_320638892.1	1	hypothetical protein
WP_279197677.1	1	hypothetical protein
WP_346606083.1	1	hypothetical protein
WP_346606084.1	1	hypothetical protein
WP_346606085.1	1	hypothetical protein
WP_346606086.1	1	hypothetical protein
WP_346606087.1	1	hypothetical protein
WP_346606088.1	1	hypothetical protein
WP_346606089.1	1	hypothetical protein
WP_157922559.1	1	hypothetical protein
WP_392385336.1	1	hypothetical protein
WP_279620791.1	1	hypothetical protein
WP_282835713.1	1	hypothetical protein
WP_282835714.1	1	hypothetical protein
WP_282835716.1	1	hypothetical protein
WP_282835717.1	1	hypothetical protein
WP_282835718.1	1	hypothetical protein
WP_139354441.1	1	hypothetical protein
WP_320163696.1	1	hypothetical protein
WP_320163697.1	1	hypothetical protein
WP_369577012.1	1	hypothetical protein
WP_160797066.1	1	hypothetical protein
WP_160797064.1	1	hypothetical protein
WP_239880352.1	1	hypothetical protein
WP_239880353.1	1	hypothetical protein
WP_239880354.1	1	hypothetical protein
WP_239880355.1	1	hypothetical protein
WP_290686379.1	1	hypothetical protein
WP_198672403.1	1	hypothetical protein
WP_170422046.1	1	hypothetical protein
WP_170422049.1	1	hypothetical protein
WP_227900940.1	1	hypothetical protein
WP_291945366.1	1	hypothetical protein
WP_291945368.1	1	hypothetical protein
WP_180562372.1	1	hypothetical protein
WP_333614672.1	1	hypothetical protein
WP_166406170.1	1	hypothetical protein
WP_217386151.1	1	hypothetical protein
WP_217386154.1	1	hypothetical protein
WP_217386155.1	1	hypothetical protein
WP_017279711.1	1	hypothetical protein
WP_217386158.1	1	hypothetical protein
WP_155778821.1	1	hypothetical protein
WP_309863094.1	1	hypothetical protein
WP_353411354.1	1	hypothetical protein
WP_353411358.1	1	hypothetical protein
WP_353411362.1	1	hypothetical protein
WP_353411368.1	1	hypothetical protein
WP_118534102.1	1	hypothetical protein
WP_118534104.1	1	hypothetical protein
WP_118534105.1	1	hypothetical protein
WP_118534106.1	1	hypothetical protein
WP_118534109.1	1	hypothetical protein
WP_147354305.1	1	hypothetical protein
WP_257264377.1	1	hypothetical protein
WP_303452602.1	1	hypothetical protein
WP_303452604.1	1	hypothetical protein
WP_303452606.1	1	hypothetical protein
WP_303452608.1	1	hypothetical protein
WP_038697886.1	1	hypothetical protein
WP_038697888.1	1	hypothetical protein
WP_346698279.1	1	hypothetical protein
WP_214740804.1	1	hypothetical protein
WP_294458484.1	1	hypothetical protein
WP_294458490.1	1	hypothetical protein
WP_018932298.1	1	hypothetical protein
WP_001269284.1	1	hypothetical protein
WP_326209165.1	1	hypothetical protein
WP_326209174.1	1	hypothetical protein
WP_326209182.1	1	hypothetical protein
WP_300862094.1	1	hypothetical protein
WP_239661513.1	1	hypothetical protein
WP_239661514.1	1	hypothetical protein
WP_226856854.1	1	hypothetical protein
WP_047798034.1	1	hypothetical protein
WP_047798103.1	1	hypothetical protein
WP_156166664.1	1	hypothetical protein
WP_156166665.1	1	hypothetical protein
WP_140393330.1	1	hypothetical protein
WP_156104789.1	1	hypothetical protein
WP_148040121.1	1	hypothetical protein
WP_123044838.1	1	hypothetical protein
WP_158603889.1	1	hypothetical protein
WP_339150715.1	1	hypothetical protein
WP_309635038.1	1	hypothetical protein
WP_309635039.1	1	hypothetical protein
WP_309635040.1	1	hypothetical protein
WP_309635041.1	1	hypothetical protein
WP_309635042.1	1	hypothetical protein
WP_309635044.1	1	hypothetical protein
WP_144823908.1	1	hypothetical protein
WP_387028694.1	1	hypothetical protein
WP_114666246.1	1	hypothetical protein
WP_114666247.1	1	hypothetical protein
WP_114666248.1	1	hypothetical protein
WP_262161115.1	1	hypothetical protein
WP_262161118.1	1	hypothetical protein
WP_159558261.1	1	hypothetical protein
WP_262161119.1	1	hypothetical protein
WP_262161122.1	1	hypothetical protein
WP_262161123.1	1	hypothetical protein
WP_262161124.1	1	hypothetical protein
WP_074437445.1	1	hypothetical protein
WP_062913609.1	1	hypothetical protein
WP_062913612.1	1	hypothetical protein
WP_062913613.1	1	hypothetical protein
WP_062913614.1	1	hypothetical protein
WP_159433516.1	1	hypothetical protein
WP_073584758.1	1	hypothetical protein
WP_073584760.1	1	hypothetical protein
WP_143165292.1	1	hypothetical protein
WP_073584770.1	1	hypothetical protein
WP_352457912.1	1	hypothetical protein
WP_352852464.1	1	hypothetical protein
WP_352852465.1	1	hypothetical protein
WP_352852467.1	1	hypothetical protein
WP_314901228.1	1	hypothetical protein
WP_314901230.1	1	hypothetical protein
WP_314901232.1	1	hypothetical protein
WP_314901234.1	1	hypothetical protein
WP_314901238.1	1	hypothetical protein
WP_314901246.1	1	hypothetical protein
WP_243568037.1	1	hypothetical protein
WP_173757578.1	1	hypothetical protein
WP_349916413.1	1	hypothetical protein
WP_331986022.1	1	hypothetical protein
WP_331986028.1	1	hypothetical protein
WP_331986030.1	1	hypothetical protein
WP_402759660.1	1	hypothetical protein
WP_402759662.1	1	hypothetical protein
WP_402759667.1	1	hypothetical protein
WP_277301766.1	1	hypothetical protein
WP_252719436.1	1	hypothetical protein
WP_039424959.1	1	hypothetical protein
WP_102584569.1	1	hypothetical protein
WP_258077003.1	1	hypothetical protein
WP_146094271.1	1	hypothetical protein
WP_104593924.1	1	hypothetical protein
WP_336015238.1	1	hypothetical protein
WP_337809696.1	1	hypothetical protein
WP_074385514.1	1	hypothetical protein
WP_260098325.1	1	hypothetical protein
WP_260098329.1	1	hypothetical protein
WP_260098330.1	1	hypothetical protein
WP_260098332.1	1	hypothetical protein
WP_128117016.1	1	hypothetical protein
WP_340787661.1	1	hypothetical protein
WP_340787670.1	1	hypothetical protein
WP_340787679.1	1	hypothetical protein
WP_340787682.1	1	hypothetical protein
WP_238020771.1	1	hypothetical protein
WP_238020772.1	1	hypothetical protein
WP_238020776.1	1	hypothetical protein
WP_224964996.1	1	hypothetical protein
WP_224964997.1	1	hypothetical protein
WP_224964998.1	1	hypothetical protein
WP_224965004.1	1	hypothetical protein
WP_147362800.1	1	hypothetical protein
WP_280338147.1	1	hypothetical protein
WP_259457186.1	1	hypothetical protein
WP_061681242.1	1	hypothetical protein
WP_112932230.1	1	hypothetical protein
WP_112932231.1	1	hypothetical protein
WP_112932233.1	1	hypothetical protein
WP_401344964.1	1	hypothetical protein
WP_394606905.1	1	hypothetical protein
WP_061106966.1	1	hypothetical protein
WP_223196925.1	1	hypothetical protein
WP_213121603.1	1	hypothetical protein
WP_213121605.1	1	hypothetical protein
WP_213121606.1	1	hypothetical protein
WP_285100698.1	1	hypothetical protein
WP_285100700.1	1	hypothetical protein
WP_264313355.1	1	hypothetical protein
WP_264313356.1	1	hypothetical protein
WP_264313358.1	1	hypothetical protein
WP_170029809.1	1	hypothetical protein
WP_170029810.1	1	hypothetical protein
WP_170029813.1	1	hypothetical protein
WP_060506954.1	1	hypothetical protein
WP_204677763.1	1	hypothetical protein
WP_204677769.1	1	hypothetical protein
WP_204677775.1	1	hypothetical protein
WP_204677777.1	1	hypothetical protein
WP_204677779.1	1	hypothetical protein
WP_099202325.1	1	hypothetical protein
WP_056940735.1	1	hypothetical protein
WP_096792012.1	1	hypothetical protein
WP_253462174.1	1	hypothetical protein
WP_319033430.1	1	hypothetical protein
WP_390597050.1	1	hypothetical protein
WP_195504191.1	1	hypothetical protein
WP_346045431.1	1	hypothetical protein
WP_346045435.1	1	hypothetical protein
WP_346045437.1	1	hypothetical protein
WP_346045439.1	1	hypothetical protein
WP_258280542.1	1	hypothetical protein
WP_260853816.1	1	hypothetical protein
WP_139604787.1	1	hypothetical protein
WP_139604789.1	1	hypothetical protein
WP_139604791.1	1	hypothetical protein
WP_022964866.1	1	hypothetical protein
WP_239325519.1	1	hypothetical protein
WP_239325521.1	1	hypothetical protein
WP_239325527.1	1	hypothetical protein
WP_239325529.1	1	hypothetical protein
WP_157833298.1	1	hypothetical protein
WP_157833299.1	1	hypothetical protein
WP_271093393.1	1	hypothetical protein
WP_236080917.1	1	hypothetical protein
WP_249922245.1	1	hypothetical protein
WP_257011477.1	1	hypothetical protein
WP_238449869.1	1	hypothetical protein
WP_375155115.1	1	hypothetical protein
WP_238449872.1	1	hypothetical protein
WP_238449873.1	1	hypothetical protein
WP_003557127.1	1	hypothetical protein
WP_263054392.1	1	hypothetical protein
WP_180963368.1	1	hypothetical protein
WP_330704935.1	1	hypothetical protein
WP_330704936.1	1	hypothetical protein
WP_157488279.1	1	hypothetical protein
WP_231587311.1	1	hypothetical protein
WP_048235583.1	1	hypothetical protein
WP_053069334.1	1	hypothetical protein
WP_137865114.1	1	hypothetical protein
WP_137865115.1	1	hypothetical protein
WP_340776030.1	1	hypothetical protein
WP_340776039.1	1	hypothetical protein
WP_340776042.1	1	hypothetical protein
WP_340776043.1	1	hypothetical protein
WP_340776045.1	1	hypothetical protein
WP_340776053.1	1	hypothetical protein
WP_224200660.1	1	hypothetical protein
WP_273955230.1	1	hypothetical protein
WP_273955232.1	1	hypothetical protein
WP_135400467.1	1	hypothetical protein
WP_156849211.1	1	hypothetical protein
WP_072693712.1	1	hypothetical protein
WP_072693713.1	1	hypothetical protein
WP_072693714.1	1	hypothetical protein
WP_085295444.1	1	hypothetical protein
WP_085295445.1	1	hypothetical protein
WP_085295446.1	1	hypothetical protein
WP_017826551.1	1	hypothetical protein
WP_085295447.1	1	hypothetical protein
WP_242628543.1	1	hypothetical protein
WP_156959381.1	1	hypothetical protein
WP_024800180.1	1	hypothetical protein
WP_024800181.1	1	hypothetical protein
WP_156959383.1	1	hypothetical protein
WP_247224908.1	1	hypothetical protein
WP_283696397.1	1	hypothetical protein
WP_307951031.1	1	hypothetical protein
WP_307951033.1	1	hypothetical protein
WP_338159460.1	1	hypothetical protein
WP_338159462.1	1	hypothetical protein
WP_199940035.1	1	hypothetical protein
WP_199940039.1	1	hypothetical protein
WP_152065166.1	1	hypothetical protein
WP_105071455.1	1	hypothetical protein
WP_105071456.1	1	hypothetical protein
WP_170061745.1	1	hypothetical protein
WP_245910907.1	1	hypothetical protein
WP_206849455.1	1	hypothetical protein
WP_206849457.1	1	hypothetical protein
WP_206849459.1	1	hypothetical protein
WP_206849461.1	1	hypothetical protein
WP_340689577.1	1	hypothetical protein
WP_206849468.1	1	hypothetical protein
WP_206849470.1	1	hypothetical protein
WP_206849472.1	1	hypothetical protein
WP_307444920.1	1	hypothetical protein
WP_133359006.1	1	hypothetical protein
WP_133359007.1	1	hypothetical protein
WP_133359011.1	1	hypothetical protein
WP_097040631.1	1	hypothetical protein
WP_097040633.1	1	hypothetical protein
WP_097040635.1	1	hypothetical protein
WP_097040641.1	1	hypothetical protein
WP_373256659.1	1	hypothetical protein
WP_063942772.1	1	hypothetical protein
WP_138172725.1	1	hypothetical protein
WP_337670338.1	1	hypothetical protein
WP_148783802.1	1	hypothetical protein
WP_148783807.1	1	hypothetical protein
WP_312496683.1	1	hypothetical protein
WP_312496685.1	1	hypothetical protein
WP_312496689.1	1	hypothetical protein
WP_274253299.1	1	hypothetical protein
WP_274253300.1	1	hypothetical protein
WP_274253301.1	1	hypothetical protein
WP_274253304.1	1	hypothetical protein
WP_274253305.1	1	hypothetical protein
WP_274253306.1	1	hypothetical protein
WP_274253307.1	1	hypothetical protein
WP_274253308.1	1	hypothetical protein
WP_278924957.1	1	hypothetical protein
WP_313652128.1	1	hypothetical protein
WP_313652130.1	1	hypothetical protein
WP_251362988.1	1	hypothetical protein
WP_158273923.1	1	hypothetical protein
WP_223527830.1	1	hypothetical protein
WP_223527837.1	1	hypothetical protein
WP_226674374.1	1	hypothetical protein
WP_164509986.1	1	hypothetical protein
WP_164509988.1	1	hypothetical protein
WP_125710959.1	1	hypothetical protein
WP_125710961.1	1	hypothetical protein
WP_257012807.1	1	hypothetical protein
WP_096797246.1	1	hypothetical protein
WP_320859651.1	1	hypothetical protein
WP_329602627.1	1	hypothetical protein
WP_226522010.1	1	hypothetical protein
WP_226522012.1	1	hypothetical protein
WP_226522013.1	1	hypothetical protein
WP_350317073.1	1	hypothetical protein
WP_350317074.1	1	hypothetical protein
WP_336849310.1	1	hypothetical protein
WP_200335112.1	1	hypothetical protein
WP_200335114.1	1	hypothetical protein
WP_200335120.1	1	hypothetical protein
WP_368102412.1	1	hypothetical protein
WP_332059002.1	1	hypothetical protein
WP_288542007.1	1	hypothetical protein
WP_302147179.1	1	hypothetical protein
WP_302694707.1	1	hypothetical protein
WP_305737704.1	1	hypothetical protein
WP_305737705.1	1	hypothetical protein
WP_305737706.1	1	hypothetical protein
WP_305737707.1	1	hypothetical protein
WP_305737708.1	1	hypothetical protein
WP_305737709.1	1	hypothetical protein
WP_305737711.1	1	hypothetical protein
WP_228869378.1	1	hypothetical protein
WP_228869381.1	1	hypothetical protein
WP_318220704.1	1	hypothetical protein
WP_259712404.1	1	hypothetical protein
WP_259712405.1	1	hypothetical protein
WP_259712406.1	1	hypothetical protein
WP_259712408.1	1	hypothetical protein
WP_033488145.1	1	hypothetical protein
WP_033488146.1	1	hypothetical protein
WP_033488147.1	1	hypothetical protein
WP_032663671.1	1	hypothetical protein
WP_032673381.1	1	hypothetical protein
WP_032663674.1	1	hypothetical protein
WP_153447861.1	1	hypothetical protein
WP_153447864.1	1	hypothetical protein
WP_153447865.1	1	hypothetical protein
WP_252703954.1	1	hypothetical protein
WP_252703955.1	1	hypothetical protein
WP_113808619.1	1	hypothetical protein
WP_113808621.1	1	hypothetical protein
WP_288867672.1	1	hypothetical protein
WP_288867673.1	1	hypothetical protein
WP_210487916.1	1	hypothetical protein
WP_284868366.1	1	hypothetical protein
WP_308450867.1	1	hypothetical protein
WP_016773313.1	1	hypothetical protein
WP_130902238.1	1	hypothetical protein
WP_130926422.1	1	hypothetical protein
WP_130926423.1	1	hypothetical protein
WP_130926424.1	1	hypothetical protein
WP_130926426.1	1	hypothetical protein
WP_241663598.1	1	hypothetical protein
WP_320757048.1	1	hypothetical protein
WP_320757049.1	1	hypothetical protein
WP_240887453.1	1	hypothetical protein
WP_240887455.1	1	hypothetical protein
WP_131441407.1	1	hypothetical protein
WP_131441408.1	1	hypothetical protein
WP_183682130.1	1	hypothetical protein
WP_243155802.1	1	hypothetical protein
WP_183682133.1	1	hypothetical protein
WP_183682141.1	1	hypothetical protein
WP_408637128.1	1	hypothetical protein
WP_317616933.1	1	hypothetical protein
WP_192481338.1	1	hypothetical protein
WP_147566410.1	1	hypothetical protein
WP_244355451.1	1	hypothetical protein
WP_244355452.1	1	hypothetical protein
WP_244355453.1	1	hypothetical protein
WP_244355454.1	1	hypothetical protein
WP_364273624.1	1	hypothetical protein
WP_364273735.1	1	hypothetical protein
WP_364273627.1	1	hypothetical protein
WP_364273633.1	1	hypothetical protein
WP_320722988.1	1	hypothetical protein
WP_320722989.1	1	hypothetical protein
WP_320722991.1	1	hypothetical protein
WP_229951334.1	1	hypothetical protein
WP_289603727.1	1	hypothetical protein
WP_289603730.1	1	hypothetical protein
WP_289603731.1	1	hypothetical protein
WP_289603732.1	1	hypothetical protein
WP_317938292.1	1	hypothetical protein
WP_009807933.1	1	hypothetical protein
WP_288496271.1	1	hypothetical protein
WP_288496273.1	1	hypothetical protein
WP_288496289.1	1	hypothetical protein
WP_288496291.1	1	hypothetical protein
WP_174796448.1	1	hypothetical protein
WP_128516947.1	1	hypothetical protein
WP_280558211.1	1	hypothetical protein
WP_314084029.1	1	hypothetical protein
WP_314084037.1	1	hypothetical protein
WP_183602122.1	1	hypothetical protein
WP_183602130.1	1	hypothetical protein
WP_085455720.1	1	hypothetical protein
WP_256093749.1	1	hypothetical protein
WP_021766200.1	1	hypothetical protein
WP_051314431.1	1	hypothetical protein
WP_281797571.1	1	hypothetical protein
WP_281797574.1	1	hypothetical protein
WP_281797576.1	1	hypothetical protein
WP_281797577.1	1	hypothetical protein
WP_303141633.1	1	hypothetical protein
WP_303141641.1	1	hypothetical protein
WP_303141643.1	1	hypothetical protein
WP_155103982.1	1	hypothetical protein
WP_155103984.1	1	hypothetical protein
WP_155103985.1	1	hypothetical protein
WP_371337464.1	1	hypothetical protein
WP_244429478.1	1	hypothetical protein
WP_289329063.1	1	hypothetical protein
WP_289329064.1	1	hypothetical protein
WP_387483824.1	1	hypothetical protein
WP_387483826.1	1	hypothetical protein
WP_387483828.1	1	hypothetical protein
WP_387483830.1	1	hypothetical protein
WP_387483836.1	1	hypothetical protein
WP_325334015.1	1	hypothetical protein
WP_325334023.1	1	hypothetical protein
WP_325334031.1	1	hypothetical protein
WP_097418961.1	1	hypothetical protein
WP_102879330.1	1	hypothetical protein
WP_102879331.1	1	hypothetical protein
WP_146036625.1	1	hypothetical protein
WP_102879333.1	1	hypothetical protein
WP_102879334.1	1	hypothetical protein
WP_102879335.1	1	hypothetical protein
WP_102879338.1	1	hypothetical protein
WP_159570606.1	1	hypothetical protein
WP_159570609.1	1	hypothetical protein
WP_159570621.1	1	hypothetical protein
WP_159570624.1	1	hypothetical protein
WP_159570627.1	1	hypothetical protein
WP_349112637.1	1	hypothetical protein
WP_032564345.1	1	hypothetical protein
WP_215241785.1	1	hypothetical protein
WP_215241786.1	1	hypothetical protein
WP_215241787.1	1	hypothetical protein
WP_215241790.1	1	hypothetical protein
WP_215241791.1	1	hypothetical protein
WP_168451107.1	1	hypothetical protein
WP_210425290.1	1	hypothetical protein
WP_168451113.1	1	hypothetical protein
WP_168451114.1	1	hypothetical protein
WP_186566858.1	1	hypothetical protein
WP_186566852.1	1	hypothetical protein
WP_228448845.1	1	hypothetical protein
WP_072961407.1	1	hypothetical protein
WP_021021299.1	1	hypothetical protein
WP_140678785.1	1	hypothetical protein
WP_140678793.1	1	hypothetical protein
WP_205012910.1	1	hypothetical protein
WP_140678795.1	1	hypothetical protein
WP_140678797.1	1	hypothetical protein
WP_140678799.1	1	hypothetical protein
WP_307219914.1	1	hypothetical protein
WP_203565254.1	1	hypothetical protein
WP_163107361.1	1	hypothetical protein
WP_347035668.1	1	hypothetical protein
WP_064909781.1	1	hypothetical protein
WP_417116565.1	1	hypothetical protein
WP_419389727.1	1	hypothetical protein
WP_120761053.1	1	hypothetical protein
WP_035146712.1	1	hypothetical protein
WP_151388564.1	1	hypothetical protein
WP_162624697.1	1	hypothetical protein
WP_303879624.1	1	hypothetical protein
WP_303879625.1	1	hypothetical protein
WP_303879626.1	1	hypothetical protein
WP_303879627.1	1	hypothetical protein
WP_009233120.1	1	hypothetical protein
WP_303879628.1	1	hypothetical protein
WP_052112907.1	1	hypothetical protein
WP_342666919.1	1	hypothetical protein
WP_169744260.1	1	hypothetical protein
WP_156996724.1	1	hypothetical protein
WP_035937915.1	1	hypothetical protein
WP_194587727.1	1	hypothetical protein
WP_194639211.1	1	hypothetical protein
WP_088718016.1	1	hypothetical protein
WP_194548597.1	1	hypothetical protein
WP_404539195.1	1	hypothetical protein
WP_404539200.1	1	hypothetical protein
WP_404539202.1	1	hypothetical protein
WP_404539204.1	1	hypothetical protein
WP_404539206.1	1	hypothetical protein
WP_147286720.1	1	hypothetical protein
WP_079747946.1	1	hypothetical protein
WP_322392089.1	1	hypothetical protein
WP_194038081.1	1	hypothetical protein
WP_097414149.1	1	hypothetical protein
WP_368949446.1	1	hypothetical protein
WP_368949447.1	1	hypothetical protein
WP_153852832.1	1	hypothetical protein
WP_212767994.1	1	hypothetical protein
WP_332269614.1	1	hypothetical protein
WP_332269616.1	1	hypothetical protein
WP_219130896.1	1	hypothetical protein
WP_219130898.1	1	hypothetical protein
WP_230345186.1	1	hypothetical protein
WP_230345187.1	1	hypothetical protein
WP_206269749.1	1	hypothetical protein
WP_327027658.1	1	hypothetical protein
WP_191955552.1	1	hypothetical protein
WP_191955553.1	1	hypothetical protein
WP_257420434.1	1	hypothetical protein
WP_257420437.1	1	hypothetical protein
WP_257420442.1	1	hypothetical protein
WP_117702414.1	1	hypothetical protein
WP_117702421.1	1	hypothetical protein
WP_326557136.1	1	hypothetical protein
WP_326557138.1	1	hypothetical protein
WP_326557141.1	1	hypothetical protein
WP_326557142.1	1	hypothetical protein
WP_342692761.1	1	hypothetical protein
WP_342692765.1	1	hypothetical protein
WP_253263110.1	1	hypothetical protein
WP_295267115.1	1	hypothetical protein
WP_373879525.1	1	hypothetical protein
WP_373879519.1	1	hypothetical protein
WP_373879520.1	1	hypothetical protein
WP_177931791.1	1	hypothetical protein
WP_316236291.1	1	hypothetical protein
WP_316236293.1	1	hypothetical protein
WP_316236294.1	1	hypothetical protein
WP_192114611.1	1	hypothetical protein
WP_192114608.1	1	hypothetical protein
WP_192114607.1	1	hypothetical protein
WP_192114605.1	1	hypothetical protein
WP_192114603.1	1	hypothetical protein
WP_192114602.1	1	hypothetical protein
WP_213987935.1	1	hypothetical protein
WP_193162726.1	1	hypothetical protein
WP_193162736.1	1	hypothetical protein
WP_182745203.1	1	hypothetical protein
WP_182745206.1	1	hypothetical protein
WP_182745208.1	1	hypothetical protein
WP_182745218.1	1	hypothetical protein
WP_065640209.1	1	hypothetical protein
WP_065640211.1	1	hypothetical protein
WP_065640213.1	1	hypothetical protein
WP_065640214.1	1	hypothetical protein
WP_244643560.1	1	hypothetical protein
WP_420899347.1	1	hypothetical protein
WP_042856981.1	1	hypothetical protein
WP_379869433.1	1	hypothetical protein
WP_379937393.1	1	hypothetical protein
WP_339939049.1	1	hypothetical protein
WP_345326434.1	1	hypothetical protein
WP_345326438.1	1	hypothetical protein
WP_345326440.1	1	hypothetical protein
WP_339939064.1	1	hypothetical protein
WP_345326444.1	1	hypothetical protein
WP_179777677.1	1	hypothetical protein
WP_179777680.1	1	hypothetical protein
WP_332419554.1	1	hypothetical protein
WP_185215336.1	1	hypothetical protein
WP_119499964.1	1	hypothetical protein
WP_187106041.1	1	hypothetical protein
WP_343010293.1	1	hypothetical protein
WP_343010295.1	1	hypothetical protein
WP_425461502.1	1	hypothetical protein
WP_371105309.1	1	hypothetical protein
WP_371105310.1	1	hypothetical protein
WP_371105311.1	1	hypothetical protein
WP_371105316.1	1	hypothetical protein
WP_312226352.1	1	hypothetical protein
WP_345915581.1	1	hypothetical protein
WP_345915582.1	1	hypothetical protein
WP_305346351.1	1	hypothetical protein
WP_304924396.1	1	hypothetical protein
WP_166545089.1	1	hypothetical protein
WP_279736023.1	1	hypothetical protein
WP_056847252.1	1	hypothetical protein
WP_056847254.1	1	hypothetical protein
WP_056847259.1	1	hypothetical protein
WP_156382931.1	1	hypothetical protein
WP_396845546.1	1	hypothetical protein
WP_396845547.1	1	hypothetical protein
WP_396845548.1	1	hypothetical protein
WP_149759042.1	1	hypothetical protein
WP_149759045.1	1	hypothetical protein
WP_348847573.1	1	hypothetical protein
WP_394617140.1	1	hypothetical protein
WP_394617141.1	1	hypothetical protein
WP_394617142.1	1	hypothetical protein
WP_394617143.1	1	hypothetical protein
WP_394617144.1	1	hypothetical protein
WP_394617145.1	1	hypothetical protein
WP_394617147.1	1	hypothetical protein
WP_394617148.1	1	hypothetical protein
WP_394617149.1	1	hypothetical protein
WP_349113898.1	1	hypothetical protein
WP_278229274.1	1	hypothetical protein
WP_230316055.1	1	hypothetical protein
WP_275235252.1	1	hypothetical protein
WP_322381102.1	1	hypothetical protein
WP_322381104.1	1	hypothetical protein
WP_152187733.1	1	hypothetical protein
WP_193311044.1	1	hypothetical protein
WP_152187739.1	1	hypothetical protein
WP_192044485.1	1	hypothetical protein
WP_271160420.1	1	hypothetical protein
WP_271160425.1	1	hypothetical protein
WP_271160428.1	1	hypothetical protein
WP_271160430.1	1	hypothetical protein
WP_188642639.1	1	hypothetical protein
WP_188642640.1	1	hypothetical protein
WP_188642642.1	1	hypothetical protein
WP_057067963.1	1	hypothetical protein
WP_057067964.1	1	hypothetical protein
WP_057067971.1	1	hypothetical protein
WP_250693809.1	1	hypothetical protein
WP_312048596.1	1	hypothetical protein
WP_312048597.1	1	hypothetical protein
WP_052474414.1	1	hypothetical protein
WP_258920315.1	1	hypothetical protein
WP_151897484.1	1	hypothetical protein
WP_237767077.1	1	hypothetical protein
WP_087846586.1	1	hypothetical protein
